0756015720141101,,756,157
Washington Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:30,WASH 13,3,7,Punt
10:30,1,02:32,WASH 25,7,63,Fumble
03:36,1,02:34,WASH 14,7,86,Touchdown
12:42,2,01:31,WASH 25,3,2,Punt
09:59,2,02:04,WASH 16,6,65,Field Goal
07:15,2,00:38,COLO 33,2,-3,Fumble
02:17,2,01:24,WASH 22,7,78,Touchdown
11:23,3,02:41,WASH 25,6,75,Fumble
07:57,3,02:19,COLO 46,5,46,Touchdown
04:53,3,00:08,COLO 0,0,0,Touchdown
04:45,3,01:41,COLO 31,3,-6,Punt
01:41,3,01:30,50,3,0,Punt
13:10,4,00:00,COLO 0,0,0,Touchdown
10:41,4,02:20,WASH 34,3,9,Punt
01:52,4,01:52,WASH 14,5,10,End of Game
Colorado Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:30,1,03:00,COLO 30,9,70,Touchdown
07:58,1,04:16,COLO 13,10,72,Field Goal
00:55,1,03:13,COLO 41,7,59,Touchdown
11:11,2,01:12,COLO 27,3,6,Punt
07:55,2,00:40,COLO 25,3,8,Fumble
06:37,2,04:14,COLO 37,10,42,Field Goal
00:46,2,00:46,COLO 19,4,24,End of Half
15:00,3,03:37,COLO 25,9,44,Field Goal
08:42,3,00:45,COLO 20,3,26,Fumble
05:31,3,00:38,COLO 27,2,2,Interception
04:53,3,00:08,COLO 31,0,0,Fumble
03:04,3,01:23,COLO 6,3,5,Punt
00:11,3,02:01,COLO 20,7,20,Punt
13:10,4,02:29,COLO 25,4,12,Punt
08:21,4,06:29,COLO 20,18,66,Downs
