0758002820140828,,758,28
Weber State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:25,1,02:08,WEB 2,3,7,PUNT
08:22,1,01:00,WEB 46,3,-7,PUNT
04:25,1,01:31,WEB 24,3,5,PUNT
01:32,1,02:39,WEB 25,7,74,Downs
11:32,2,03:37,WEB 17,6,20,PUNT
06:35,2,03:01,WEB 44,6,10,PUNT
00:43,2,00:43,WEB 9,1,5,END OF HALF
15:00,3,03:00,WEB 25,6,27,PUNT
10:43,3,03:08,WEB 35,8,65,TOUCHDOWN
04:48,3,01:10,WEB 25,3,-3,PUNT
02:27,3,02:19,WEB 1,6,18,PUNT
13:30,4,02:38,WEB 40,5,14,PUNT
06:07,4,00:58,WEB 37,3,63,Touchdown
00:34,4,00:34,WEB 20,1,0,END OF HALF
Arizona State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:35,ASU 25,6,27,PUNT
11:17,1,02:50,WEB 49,9,33,Field Goal
07:22,1,02:50,ASU 45,7,55,Touchdown
02:54,1,01:22,ASU 44,6,56,Touchdown
13:53,2,02:18,ASU 1,9,99,Touchdown
07:55,2,01:20,ASU 20,3,0,PUNT
03:34,2,02:46,ASU 16,8,84,Touchdown
12:00,3,01:14,ASU 15,5,85,Touchdown
07:35,3,02:47,ASU 25,7,75,Touchdown
03:38,3,01:11,ASU 36,4,15,PUNT
00:08,3,01:38,ASU 44,3,6,PUNT
10:52,4,04:45,ASU 3,9,34,PUNT
05:09,4,04:35,ASU 25,9,35,PUNT
