0768031120141129,,768,311
West Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:10,WVU 24,6,76,Touchdown
09:41,1,02:46,WVU 15,8,53,Missed FG
01:30,1,01:13,WVU 16,3,2,Punt
13:40,2,00:05,WVU 29,1,8,Fumble
11:50,2,01:49,WVU 22,5,78,Touchdown
09:03,2,01:36,WVU 26,7,74,Touchdown
06:08,2,01:29,ISU 44,7,15,Field Goal
01:09,2,01:09,WVU 27,10,58,Field Goal
08:52,3,02:16,WVU 24,7,37,Punt
04:39,3,01:14,WVU 15,3,5,Punt
14:55,4,02:22,WVU 20,8,46,Downs
11:18,4,02:08,WVU 25,6,75,Touchdown
08:18,4,02:43,WVU 36,8,38,Field Goal
02:17,4,00:11,WVU 18,2,11,Fumble
01:24,4,00:56,WVU 17,3,9,Punt
Iowa State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:50,1,03:02,ISU 20,8,80,Touchdown
06:55,1,05:20,ISU 32,11,68,Touchdown
00:17,1,01:37,ISU 38,3,8,Punt
13:35,2,01:38,WVU 37,3,37,Touchdown
10:01,2,00:58,ISU 25,3,0,Punt
07:22,2,01:14,ISU 19,3,-9,Punt
04:39,2,03:30,ISU 25,6,21,Punt
14:53,3,05:53,ISU 30,14,54,Field Goal
06:36,3,01:57,ISU 16,5,22,Punt
03:25,3,03:30,ISU 38,9,47,Interception
12:33,4,01:15,ISU 34,3,6,Punt
09:10,4,00:52,ISU 25,3,7,Punt
05:29,4,03:12,ISU 10,12,51,Interception
02:06,4,00:42,WVU 29,7,12,Downs
00:28,4,00:28,ISU 18,2,16,End of Game
