0769000820141122,,769,8
Western Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:03,WCU 25,9,75,Touchdown
07:51,1,01:26,WCU 23,3,7,Punt
04:08,1,01:04,WCU 15,3,2,Punt
02:16,1,01:30,WCU 20,3,-3,Punt
12:31,2,01:37,WCU 25,5,39,Punt
10:46,2,00:05,ALA 12,1,12,Touchdown
06:44,2,00:58,WCU 25,3,0,Punt
03:16,2,01:22,WCU 25,3,1,Punt
00:48,2,00:48,WCU 20,2,6,End of Half
10:10,3,03:03,WCU 18,9,68,Downs
01:49,3,02:40,WCU 35,5,-4,Punt
09:26,4,04:23,WCU 20,6,12,Punt
Alabama Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:57,1,04:06,ALA 48,9,52,Touchdown
06:25,1,02:17,WCU 34,6,31,Field Goal
03:04,1,00:48,WCU 40,3,11,Interception
00:46,1,03:15,ALA 37,9,63,Touchdown
10:54,2,00:08,ALA 6,1,6,Fumble
10:41,2,03:57,ALA 31,10,69,Touchdown
05:46,2,02:30,ALA 23,7,77,Touchdown
01:54,2,01:06,ALA 43,6,57,Touchdown
15:00,3,04:50,ALA 38,11,51,Field Goal
07:07,3,05:18,ALA 14,9,85,Touchdown
14:09,4,04:43,ALA 18,12,68,Missed FG
05:03,4,05:03,ALA 41,8,47,End of Game
