0771079620140906,,771,796
Western Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:00,WIU 0,0,0,Safety
12:54,1,01:20,WIU 38,3,4,Punt
08:11,1,06:41,WIU 26,13,61,Interception
00:00,1,01:29,WIU 35,3,4,Punt
05:09,2,01:42,WIU 7,3,6,Fumble
02:16,2,02:16,WIU 21,11,67,End of Half
09:18,3,02:02,WIU 22,3,3,Punt
06:19,3,02:26,WIU 8,3,7,Punt
14:50,4,02:22,WIU 20,6,-1,Punt
07:47,4,01:53,WIU 20,4,14,Fumble
03:42,4,02:29,WIU 23,3,6,Punt
Wisconsin Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:59,1,02:05,WIS 18,3,8,Punt
11:34,1,03:23,WIS 18,6,29,Interception
01:30,1,01:30,WIS 35,3,3,Punt
13:31,2,08:22,WIS 3,17,90,Downs
03:27,2,01:11,WIS 46,3,54,Touchdown
15:00,3,05:42,WIS 25,10,75,Touchdown
07:16,3,00:57,WIS 43,3,57,Touchdown
03:53,3,04:03,WIS 47,9,38,Missed FG
12:28,4,04:41,WIS 36,9,64,Touchdown
05:54,4,02:12,WIU 34,4,34,Touchdown
01:13,4,01:13,WIS 28,2,8,End of Game
