0772036620141101,,772,366
Western Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:15,WKU 10,4,57,Interception
12:14,1,00:58,WKU 11,3,4,Punt
08:25,1,01:24,WKU 31,3,-5,Punt
05:01,1,01:20,WKU 13,3,-7,Punt
00:00,1,00:00,WKU 6,6,94,Touchdown
14:47,2,00:54,WKU 35,2,2,Interception
13:42,2,01:18,WKU 48,3,4,Punt
09:44,2,01:18,WKU 21,5,12,Punt
08:03,2,03:48,WKU 32,11,54,Field Goal
00:37,2,00:37,WKU 48,6,11,End of Half
11:40,3,00:00,WKU 14,0,5,Fumble
08:49,3,01:58,WKU 25,5,15,Interception
05:36,3,00:42,WKU 27,2,4,Interception
04:12,3,01:35,WKU 33,3,4,Punt
14:09,4,01:39,WKU 16,3,1,Punt
10:00,4,02:26,WKU 15,5,18,Punt
04:31,4,03:02,WKU 35,9,29,Downs
Louisiana Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:45,1,01:31,LT 26,5,74,Touchdown
11:16,1,02:51,LT 49,7,20,Downs
07:01,1,02:00,WKU 43,6,19,Interception
03:41,1,01:01,WKU 35,4,1,Field Goal
14:47,2,00:00,WKU 0,0,0,Touchdown
13:53,2,00:11,WKU 41,2,-7,Fumble
12:24,2,02:40,LT 16,6,84,Touchdown
08:26,2,00:23,LT 32,3,0,Punt
04:15,2,03:38,LT 21,8,79,Touchdown
15:00,3,03:20,LT 14,10,86,Touchdown
11:40,3,02:51,WKU 19,5,19,Touchdown
06:51,3,01:15,WKU 17,2,-10,Fumble
04:54,3,00:42,WKU 25,2,25,Touchdown
02:37,3,03:28,LT 31,9,69,Touchdown
12:30,4,02:30,LT 36,5,18,Punt
07:34,4,03:03,LT 31,7,34,Downs
01:29,4,01:29,LT 36,3,34,End of Game
