0774012920141122,,774,129
Western Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:22,1,01:52,WMU 37,4,21,Fumble
02:54,1,05:57,WMU 28,11,72,Touchdown
10:53,2,03:42,WMU 13,7,87,Touchdown
04:32,2,00:41,WMU 25,3,2,Interception
01:39,2,00:58,WMU 2,3,98,Touchdown
15:00,3,04:45,WMU 25,8,21,Punt
08:38,3,02:06,WMU 35,3,6,Punt
03:38,3,02:39,CMU 46,6,44,Field Goal
12:59,4,00:17,WMU 37,1,0,Interception
09:57,4,03:21,WMU 35,5,15,Punt
06:36,4,00:49,CMU 2,2,2,Touchdown
02:42,4,00:21,WMU 2,3,8,Punt
01:44,4,01:44,WMU 27,3,-4,End of Game
Central Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:38,CMU 22,8,78,Touchdown
08:30,1,05:36,CMU 42,10,58,Touchdown
11:57,2,01:04,CMU 35,3,7,Punt
07:11,2,02:39,CMU 47,6,27,Field Goal
03:51,2,02:12,50,3,8,Punt
00:41,2,00:41,CMU 27,5,21,Downs
10:15,3,01:37,CMU 14,3,5,Punt
06:32,3,02:54,CMU 12,6,33,Interception
00:59,3,03:00,CMU 17,5,38,Punt
12:42,4,02:45,WMU 48,7,28,Field Goal
00:00,4,00:00,CMU 10,0,-8,Fumble
05:47,4,03:05,CMU 21,9,55,Interception
02:21,4,00:37,WMU 35,4,7,Interception
