0786074220140830,,786,742
William & Mary Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:45,W&M 23,3,3,Punt
07:36,1,03:36,W&M 25,7,55,Field Goal
01:16,1,01:26,W&M 44,5,43,Field Goal
12:42,2,04:37,W&M 30,7,17,Fumble
05:40,2,02:24,W&M 35,3,-4,Punt
00:38,2,00:38,W&M 25,2,8,End of Half
07:59,3,01:01,W&M 25,3,1,Punt
06:20,3,02:02,VT 39,5,11,Field Goal
02:47,3,01:45,W&M 22,3,-2,Punt
13:40,4,04:31,W&M 21,11,58,Missed FG
06:11,4,03:21,W&M 20,6,21,Punt
Virginia Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:15,1,05:39,VT 16,14,84,Touchdown
04:00,1,02:44,VT 25,7,28,Interception
14:50,2,02:08,VT 20,3,8,Punt
08:05,2,02:25,W&M 2,5,3,Touchdown
03:16,2,02:38,VT 22,9,75,Field Goal
15:00,3,07:01,VT 16,14,74,Field Goal
06:58,3,00:38,VT 35,2,9,Fumble
04:18,3,01:31,VT 20,4,80,Touchdown
01:02,3,01:57,VT 23,3,9,Fumble
14:05,4,00:25,W&M 28,2,28,Touchdown
09:09,4,02:58,VT 21,5,31,Punt
02:50,4,02:50,VT 25,7,34,End of Game
