0796031220141122,,796,312
Wisconsin Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:25,1,02:33,IOWA 39,5,7,Field Goal
04:01,1,02:12,WIS 20,3,6,Punt
14:50,2,03:48,WIS 30,7,70,Touchdown
07:40,2,06:35,WIS 27,12,73,Touchdown
15:00,3,03:14,WIS 25,5,22,Punt
08:20,3,02:47,WIS 8,5,88,Field Goal
02:45,3,03:51,WIS 25,6,20,Punt
11:10,4,03:26,WIS 25,7,75,Touchdown
05:01,4,05:01,WIS 25,8,26,End of Game
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:35,IOWA 25,2,14,Fumble
11:52,1,07:51,IOWA 13,14,79,Field Goal
01:49,1,01:59,IOWA 34,3,7,Punt
11:02,2,03:22,IOWA 25,6,6,Punt
01:05,2,01:05,IOWA 25,6,40,End of Half
11:46,3,03:26,IOWA 13,8,48,Punt
05:33,3,02:48,IOWA 30,7,70,Touchdown
13:54,4,02:44,IOWA 18,6,82,Touchdown
07:44,4,02:43,IOWA 14,7,86,Touchdown
