0811052920140913,,811,529
Wyoming Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:16,WYO 13,10,31,Punt
06:29,1,05:27,WYO 2,11,98,Touchdown
14:55,2,01:55,WYO 20,4,18,Punt
10:45,2,02:21,WYO 10,5,16,Interception
06:43,2,03:34,WYO 18,7,63,INTERCEPTION
01:34,2,01:34,WYO 9,4,43,End of Half
13:19,3,01:42,WYO 26,4,3,FUMBLE
09:59,3,02:23,WYO 28,4,32,Punt
05:31,3,06:28,WYO 24,11,76,Touchdown
08:30,4,06:58,WYO 35,14,55,Downs
Oregon Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:44,1,03:15,ORE 20,13,78,Downs
01:02,1,01:07,ORE 35,4,65,Touchdown
13:00,2,02:15,ORE 14,7,86,Touchdown
08:24,2,01:41,WYO 25,3,25,Touchdown
03:08,2,01:35,ORE 15,7,85,TOUCHDOWN
15:00,3,01:41,ORE 28,6,72,TOUCHDOWN
11:44,3,01:38,WYO 29,4,29,TOUCHDOWN
07:36,3,02:05,ORE 5,6,21,Punt
14:03,4,05:33,ORE 21,15,79,Touchdown
01:32,4,01:32,ORE 10,3,11,END OF HALF
