0817030120140830,,817,301
Youngstown State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:30,1,05:07,YSU 24,8,29,Punt
07:58,1,02:27,YSU 25,5,16,Punt
04:31,1,04:30,ILL 48,10,33,Field Goal
13:15,2,02:31,YSU 35,4,16,Punt
09:18,2,01:56,YSU 28,3,6,Fumble
06:17,2,00:48,YSU 24,3,4,Punt
03:52,2,03:52,YSU 12,11,75,End of Half
15:00,3,05:42,YSU 27,12,54,Field Goal
08:29,3,02:05,YSU 39,4,17,Punt
03:44,3,03:30,YSU 28,6,22,Punt
13:58,4,03:01,YSU 25,7,75,Touchdown
08:50,4,02:22,YSU 35,3,4,Punt
02:33,4,02:09,YSU 25,9,34,Downs
Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:30,ILL 25,3,6,Punt
09:23,1,01:25,ILL 20,4,17,Punt
05:31,1,01:00,ILL 22,3,1,Punt
15:00,2,01:45,YSU 33,4,33,Touchdown
10:44,2,01:26,ILL 8,6,67,Fumble
07:22,2,01:05,ILL 34,3,1,Punt
05:29,2,01:37,ILL 41,3,9,Punt
09:18,3,00:49,ILL 25,3,1,Punt
06:24,3,02:40,ILL 8,8,30,Punt
00:14,3,01:16,YSU 35,6,35,Touchdown
10:57,4,02:07,ILL 21,6,79,Touchdown
06:28,4,03:55,ILL 33,9,67,Touchdown
