1004070020140830,,1004,700,,,
Central Arkansas Drive Summaries,,,,,,
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,1:06,UCA 25,3,5,Punt
12:52,1,5:11,UCA 31,18,58,Field Goal
5:13,1,2:18,UCA 25,5,31,Punt
0:12,1,3:29,UCA 20,12,80,Touchdown
10:44,2,0:06,TTU 2,1,2,Touchdown
7:16,2,2:20,UCA 8,4,11,Punt
3:34,2,2:20,UCA 7,7,22,Punt
0:02,2,0:02,UCA 20,1,-2,End of Half
11:05,3,4:29,UCA 31,14,52,Field Goal
6:20,3,2:36,UCA 29,4,13,Punt
0:38,3,1:47,UCA 21,3,0,Punt
12:58,4,5:11,UCA 25,15,75,Touchdown
5:38,4,2:41,UCA 13,9,87,Touchdown
Texas Tech Drive Summaries,,,,,,
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:54,1,1:02,TTU 27,3,-2,Punt
7:41,1,2:28,UCA 43,10,43,Touchdown
2:55,1,2:43,TTU 9,10,80,Interception
11:43,2,0:59,TTU 25,3,-5,Interception
10:38,2,3:22,TTU 37,11,63,Touchdown
4:56,2,1:22,TTU 37,6,63,Touchdown
1:14,2,1:12,TTU 14,9,68,Missed FG
15:00,3,3:55,TTU 32,11,68,Touchdown
6:36,3,0:16,TTU 5,1,-5,Safety
3:44,3,3:06,TTU 20,7,36,Punt
13:51,4,0:53,TTU 15,3,85,Touchdown
7:47,4,2:09,TTU 21,8,79,Touchdown
2:57,4,2:57,TTU 47,8,9,End of Game
