1068019320140830,,1068,193
Elon Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:43,ELON 25,3,-4,Punt
08:49,1,05:43,ELON 20,13,61,Field Goal
00:53,1,01:07,ELON 20,3,0,Punt
14:32,2,02:27,ELON 27,6,28,Punt
08:00,2,03:36,ELON 32,11,51,Field Goal
00:53,2,00:53,ELON 34,4,19,End of Half
11:22,3,00:58,ELON 49,3,0,Punt
08:41,3,02:05,ELON 30,6,25,Downs
04:27,3,03:03,ELON 23,8,26,Punt
13:20,4,02:57,ELON 25,8,75,Touchdown
07:10,4,00:54,ELON 17,3,2,Punt
01:02,4,01:02,ELON 3,3,29,End of Game
Duke Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:17,1,04:22,DUKE 39,11,61,Touchdown
03:00,1,02:07,DUKE 25,6,16,Punt
14:46,2,00:07,ELON 46,1,46,Touchdown
12:05,2,03:57,DUKE 20,12,80,Touchdown
04:18,2,03:17,DUKE 21,9,79,Touchdown
15:00,3,03:28,DUKE 25,12,75,Touchdown
10:24,3,01:43,DUKE 23,3,3,Punt
06:36,3,02:03,DUKE 45,6,24,Field Goal
01:24,3,03:03,DUKE 18,9,82,Touchdown
10:11,4,02:55,ELON 37,8,37,Touchdown
06:16,4,05:14,DUKE 43,10,54,Downs
