1092074920140906,,1092,749
Gardner-Webb Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:15,1,02:08,WEBB 25,3,-3,Punt
05:25,1,01:38,WEBB 3,3,3,Interception
02:12,1,01:20,WEBB 10,3,4,Punt
11:08,2,03:25,WEBB 35,5,8,Punt
15:00,3,02:06,WEBB 25,3,-4,Punt
10:12,3,02:29,WEBB 25,4,16,Punt
06:37,3,02:11,WEBB 49,5,38,Missed FG
01:12,3,01:31,WEBB 34,3,0,Punt
11:53,4,07:46,WEBB 19,15,63,Missed FG
02:31,4,02:15,WAKE 47,6,47,Touchdown
Wake Forest Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:45,WAKE 26,13,64,Field Goal
07:07,1,01:42,WEBB 46,4,38,Interception
03:47,1,01:35,WEBB 11,3,-7,Interception
00:52,1,04:44,WEBB 48,10,29,Field Goal
07:43,2,07:43,WAKE 12,16,78,Field Goal
12:54,3,02:34,WAKE 35,9,65,Touchdown
07:43,3,01:06,WAKE 29,5,27,Interception
04:26,3,03:14,WAKE 20,6,15,Punt
14:41,4,02:42,WAKE 46,8,54,Touchdown
04:07,4,01:36,WAKE 24,3,6,Punt
00:14,4,00:00,WAKE 30,1,-2,
