1320050320140828,,1320,503
Presbyterian College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:04,PRE 23,4,35,Fumble
11:02,1,02:20,PRE 25,3,0,Punt
04:50,1,01:03,PRE 19,3,1,Punt
01:07,1,01:14,PRE 28,3,-8,Punt
12:33,2,02:17,PRE 7,3,5,Punt
07:09,2,01:21,PRE 20,3,8,Punt
02:23,2,01:31,PRE 23,5,15,Punt
00:00,2,00:00,PRE 23,0,0,END OF HALF
13:22,3,01:19,PRE 19,3,2,Interception
11:26,3,03:30,PRE 20,6,31,Punt
06:15,3,00:45,PRE 44,2,5,Fumble
03:48,3,03:42,PRE 35,9,51,Field Goal
12:53,4,02:06,PRE 10,3,-4,Punt
08:26,4,02:23,PRE 20,3,-4,Punt
Northern Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:56,1,01:54,NIU 42,8,58,Touchdown
08:42,1,03:46,NIU 42,12,43,Field Goal
03:47,1,02:35,NIU 36,12,64,Touchdown
14:53,2,02:14,NIU 31,7,69,Touchdown
10:16,2,03:07,PRE 45,12,41,Missed FG
05:48,2,03:18,NIU 27,13,73,Touchdown
00:52,2,00:49,NIU 29,9,62,Field Goal
14:51,3,01:24,NIU 21,4,79,Touchdown
12:03,3,00:32,PRE 12,3,12,Touchdown
07:56,3,01:41,NIU 20,3,-6,Punt
05:30,3,01:35,PRE 49,6,49,Touchdown
00:00,3,02:07,NIU 41,5,17,Punt
10:47,4,02:21,PRE 37,7,23,Missed FG
06:03,4,06:03,NIU 44,12,36,END OF HALF
