2678067020140830,,2678,670
Arkansas-Pine Bluff Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:41,ARPB 19,3,8,Punt
11:46,1,07:41,ARPB 25,15,52,Missed FG
01:28,1,01:35,ARPB 25,3,13,Punt
11:29,2,01:43,ARPB 39,3,4,Punt
09:03,2,02:54,ARPB 22,7,34,Punt
02:38,2,01:48,ARPB 24,5,18,Fumble
00:06,2,00:06,ARPB 17,1,29,End of Half
10:57,3,02:12,ARPB 25,5,5,Punt
07:43,3,01:28,ARPB 25,3,4,Punt
03:22,3,03:19,ARPB 20,5,22,Punt
10:34,4,02:20,ARPB 24,4,23,Fumble
05:56,4,05:06,ARPB 20,7,28,Punt
Texas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:19,1,01:33,ARPB 43,6,43,Touchdown
04:05,1,02:37,TXST 23,8,77,Touchdown
14:53,2,03:23,TXST 21,9,79,Touchdown
09:46,2,00:33,TXST 20,2,80,Touchdown
06:09,2,03:25,TXST 20,11,80,Touchdown
00:50,2,00:37,ARPB 42,4,42,Touchdown
14:51,3,03:54,TXST 32,10,55,Field Goal
08:45,3,01:02,TXST 31,4,69,Touchdown
06:15,3,02:53,ARPB 45,7,45,Fumble
00:03,3,04:23,TXST 40,12,60,Touchdown
08:14,4,02:12,ARPB 47,6,47,Touchdown
00:50,4,00:50,TXST 20,2,5,End of Game
