2915025520140830,,2915,255
Wofford Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:46,1,02:05,WOF 34,3,5,Punt
08:16,1,06:00,WOF 25,10,53,Field Goal
00:38,1,01:27,WOF 30,3,7,Punt
07:40,2,05:02,WOF 20,8,25,Punt
01:15,2,00:24,WOF 6,3,94,Touchdown
09:10,3,04:43,WOF 25,11,41,Field Goal
04:02,3,09:13,WOF 25,16,75,Touchdown
08:34,4,01:41,WOF 25,3,-4,Punt
01:34,4,00:37,WOF 25,5,25,Downs
Georgia Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:41,1,04:25,GT 22,9,78,Touchdown
02:09,1,01:31,GT 23,3,7,Punt
14:11,2,06:31,GT 20,13,66,Missed FG
02:38,2,01:23,GT 26,5,20,Punt
00:41,2,00:41,50,4,37,Field Goal
14:51,3,05:41,GT 28,11,72,Touchdown
04:19,3,00:17,GT 29,1,71,Touchdown
09:42,4,01:08,GT 20,3,80,Touchdown
06:53,4,05:19,GT 46,10,54,Touchdown
00:57,4,00:57,50,2,3,End of Game
