2.53067E+14,,253,670
1st Quarter Play-by-Play,,,
Texas State at 15:00,,GSU,TST
,Younghoe Koo kickoff for 65 yds for a touchback,0,0
1st and 10 at TXST 25,Tyler Jones pass complete to Brandon Smith for a loss of 2 yards to the TexSt 23,,
2nd and 12 at TXST 23,Tyler Jones pass complete to Robert Lowe for 8 yds to the TexSt 31,,
3rd and 4 at TXST 31,Tyler Jones pass complete to Robert Lowe for 5 yds to the TexSt 36 for a 1ST down,,
1st and 10 at TXST 36,Robert Lowe run for 2 yds to the TexSt 38,,
2nd and 8 at TXST 38,Robert Lowe run for 1 yd to the TexSt 39,,
3rd and 7 at TXST 39,Tyler Jones pass incomplete,,
4th and 7 at TXST 39,"Will Johnson punt for 43 yds , Tray Butler returns for 5 yds to the GeoSo 23",,
"TXST DRIVE TOTALS: 6 plays, 14 yards, 2:23",,,
Georgia Southern at 12:37,,GSU,TST
1st and 10 at GASO 23,Matt Breida run for 5 yds to the GeoSo 28,0,0
2nd and 5 at GASO 28,Kevin Ellison run for 6 yds to the GeoSo 34 for a 1ST down,,
1st and 10 at GASO 34,Kevin Ellison run for 2 yds to the GeoSo 36,,
2nd and 8 at GASO 36,Kevin Ellison run for 2 yds to the GeoSo 38,,
3rd and 6 at GASO 38,Kevin Ellison run for no gain to the GeoSo 38,,
4th and 6 at GASO 38,"Ryan Nowicki punt for 55 yds , Craig Mager returns for 8 yds to the TexSt 15",,
"GASO DRIVE TOTALS: 5 plays, 15 yards, 3:03",,,
Texas State at 9:34,,GSU,TST
1st and 10 at TXST 15,Terrence Franks run for 1 yd to the TexSt 16,0,0
2nd and 9 at TXST 16,Terrence Franks run for 1 yd to the TexSt 17,,
3rd and 8 at TXST 17,Tyler Jones pass incomplete,,
4th and 8 at TXST 17,"Will Johnson punt for 53 yds , Tray Butler returns for a loss of 3 yards to the GeoSo 14 GA SOUTHERN Penalty, illegal block (10 Yards) to the GeoSo 17",,
"TXST DRIVE TOTALS: 3 plays, 2 yards, 1:11",,,
Georgia Southern at 8:23,,GSU,TST
1st and 10 at GASO 17,Kevin Ellison run for no gain to the GeoSo 17,0,0
2nd and 10 at GASO 17,Kevin Ellison pass complete to Derek Keaton for 13 yds to the GeoSo 30 for a 1ST down,,
1st and 10 at GASO 30,"Ellison, Kevin deep out pass incomplete to Showers, Kentrellis, PENALTY TXST pass interference (Mager,Craig) 15 yards to the GSU45, 1ST DOWN GSU, NO PLAY. for a 1ST down",,
1st and 10 at GASO 45,Kevin Ellison run for a loss of 2 yards to the GeoSo 43,,
2nd and 12 at GASO 43,Matt Breida run for 9 yds to the TexSt 48,,
3rd and 3 at TXST 48,Kevin Ellison run for 41 yds to the TexSt 7 for a 1ST down,,
1st and Goal at TXST 7,Matt Breida run for 5 yds to the TexSt 2,,
2nd and Goal at TXST 2,Kevin Ellison run for 1 yd to the TexSt 1,,
3rd and Goal at TXST 1,"Matt Breida run for 1 yd for a TD, (Alex Hanks KICK)",7,0
"GASO DRIVE TOTALS: 8 plays, 83 yards, 4:21",,,
Texas State at 3:57,,GSU,TST
,"Younghoe Koo kickoff for 65 yds , Terrence Franks return for 22 yds to the TEXSTATE 43 TEXAS STATE Penalty, unsportsmanlike conduct (Terrence Franks) to the TexSt 11",7,0
1st and 10 at TXST 11,Tyler Jones pass complete to Robert Lowe for 1 yd to the TexSt 12,,
2nd and 9 at TXST 12,Robert Lowe run for 1 yd to the TexSt 13,,
,"Timeout TEXAS STATE, clock 02:47",,
3rd and 8 at TXST 13,Robert Lowe run for 13 yds to the TexSt 26 for a 1ST down,,
1st and 10 at TXST 26,Terrence Franks run for no gain to the TexSt 26,,
2nd and 10 at TXST 26,"TEAM run for a loss of 2 yards to the TexSt 24 TEAM fumbled, recovered by TexSt Tyler Jones",,
3rd and 12 at TXST 24,Tyler Jones pass incomplete,,
