0414000520141011,,414,5
1st Quarter Play-by-Play
Miami (OH) at 15:00,,MU,AKR
,Robert Stein kickoff for 65 yds for a touchback,0,0
1st and 10 at M-OH 25,Andrew Hendrix pass complete to Jared Murphy for 20 yds to the MiaOh 45 for a 1ST down,,
1st and 10 at M-OH 45,"MIAMI OH Penalty, false start (-5 Yards) to the MiaOh 40",,
1st and 15 at M-OH 40,Spencer McInnis run for 3 yds to the MiaOh 43,,
2nd and 12 at M-OH 43,Andrew Hendrix run for 6 yds to the MiaOh 49,,
3rd and 6 at M-OH 49,Andrew Hendrix pass complete to David Frazier for 15 yds to the Akron 36 for a 1ST down,,
1st and 10 at AKR 36,Spencer McInnis run for 4 yds to the Akron 32,,
2nd and 6 at AKR 32,Andrew Hendrix pass incomplete to Jared Murphy,,
3rd and 6 at AKR 32,Andrew Hendrix run for 9 yds to the Akron 23 for a 1ST down,,
1st and 10 at AKR 23,Andrew Hendrix sacked by Justin March for a loss of 8 yards to the Akron 31,,
2nd and 18 at AKR 31,Andrew Hendrix run for 1 yd to the Akron 30,,
3rd and 17 at AKR 30,"Andrew Hendrix pass incomplete to David Frazier, broken up by DeAndre Scott",,
4th and 17 at AKR 30,Andrew Hendrix sacked by Jerome Lane for a loss of 6 yards to the Akron 36,,
"M-OH DRIVE TOTALS: 11 plays, 39 yards, 5:05"
Akron at 9:55,,MU,AKR
1st and 10 at AKR 36,"POHL, Kyle pass incomplete to SMITH, L.T., PENALTY MU pass interference 10 yards to the AKRON46, 1ST DOWN AKRON, NO PLAY. for a 1ST down",0,0
1st and 10 at AKR 46,Kyle Pohl pass incomplete to N/A,,
2nd and 10 at AKR 46,Conor Hundley run for 3 yds to the Akron 49,,
3rd and 7 at AKR 49,"MIAMI OH Penalty, Defensive offside (4 Yards) to the MiaOh 47",,
3rd and 3 at M-OH 47,"Kyle Pohl pass complete to u""Zach D'Orazio"",  for 9 yds to the MiaOh 38 for a 1ST down",,
1st and 10 at M-OH 38,Kyle Pohl pass complete to Conor Hundley for a loss of 2 yards to the MiaOh 40,,
2nd and 12 at M-OH 40,Conor Hundley run for 8 yds to the MiaOh 32,,
3rd and 4 at M-OH 32,Kyle Pohl pass complete to Conor Hundley for 10 yds to the MiaOh 22 for a 1ST down,,
1st and 10 at M-OH 22,"Kyle Pohl pass complete to Fransohn Bickley for 5 yds Fransohn Bickley fumbled, forced by Lo Wood, recovered by MiaOh Jarrell Jones  , return for 5 yds to the MiaOh 22",,
"AKR DRIVE TOTALS: 7 plays, 47 yards, 3:20"
Miami (OH) at 6:35,,MU,AKR
1st and 10 at M-OH 22,Spencer McInnis run for 3 yds to the MiaOh 25,0,0
2nd and 7 at M-OH 25,"AKRON Penalty, Defensive offside (5 Yards) to the MiaOh 30",,
2nd and 2 at M-OH 30,Spencer McInnis run for 1 yd to the MiaOh 31,,
3rd and 1 at M-OH 31,Andrew Hendrix pass incomplete to N/A,,
4th and 1 at M-OH 31,"Christian Koch punt for 34 yds , Imani Davis returns for 2 yds to the Akron 37",,
"M-OH DRIVE TOTALS: 3 plays, 9 yards, 1:39"
Akron at 4:56,,MU,AKR
1st and 10 at AKR 37,"AKRON Penalty, false start (-5 Yards) to the Akron 32",0,0
1st and 15 at AKR 32,"Kyle Pohl pass incomplete to u""Zach D'Orazio"", , broken up by Jarrell Jones",,
2nd and 15 at AKR 32,"Kyle Pohl pass incomplete to u""Zach D'Orazio""",,
3rd and 15 at AKR 32,Conor Hundley run for 8 yds to the Akron 40,,
4th and 7 at AKR 40,"Zach Paul punt for 57 yds, downed at the MiaOh 3",,
"AKR DRIVE TOTALS: 3 plays, 3 yards, 0:56"
Miami (OH) at 4:00,,MU,AKR
1st and 10 at M-OH 3,"Andrew Hendrix pass incomplete to David Frazier, broken up by DeAndre Scott",0,0
2nd and 10 at M-OH 3,Andrew Hendrix sacked by Jerome Lane for a loss of 3 yards for a SAFETY,0,2
"M-OH DRIVE TOTALS: 2 plays, -3 yards, 0:12"
Akron at 3:39,,MU,AKR
,"Christian Koch kickoff for 48 yds , Drew Phillips return for 21 yds to the MiaOh 47",0,2
1st and 10 at M-OH 47,Kyle Pohl pass complete to Imani Davis for 6 yds to the MiaOh 41,,
2nd and 4 at M-OH 41,Kyle Pohl pass complete to Imani Davis for 8 yds to the MiaOh 33 for a 1ST down,,
1st and 10 at M-OH 33,Kyle Pohl pass incomplete to Andrew Pratt,,
2nd and 10 at M-OH 33,Conor Hundley run for 16 yds to the MiaOh 17 for a 1ST down,,
,"Timeout MIAMI OH, clock 02:13",,
1st and 10 at M-OH 17,Kyle Pohl pass incomplete to Imani Davis,,
2nd and 10 at M-OH 17,Conor Hundley run for 6 yds to the MiaOh 11,,
3rd and 4 at M-OH 11,Kyle Pohl pass incomplete to N/A,,
