0721046520141108,,721,465
1st Quarter Play-by-Play
UNLV at 15:00,,AFA,UNLV
,Drew Oehrle kickoff for 65 yds for a touchback,0,0
1st and 10 at UNLV 25,Blake Decker pass complete to Shaquille Murray-Lawrence for 11 yds to the UNLV 36 for a 1ST down,,
1st and 10 at UNLV 36,Keith Whitely run for 3 yds to the UNLV 39,,
2nd and 7 at UNLV 39,Blake Decker pass complete to Devonte Boyd for 13 yds to the AFA 48 for a 1ST down,,
1st and 10 at AFA 48,Blake Decker run for 2 yds to the AFA 46,,
2nd and 8 at AFA 46,Blake Decker pass complete to Devonte Boyd for 7 yds to the AFA 39,,
3rd and 1 at AFA 39,Shaquille Murray-Lawrence run for 4 yds to the AFA 35 for a 1ST down,,
1st and 10 at AFA 35,Blake Decker pass incomplete,,
2nd and 10 at AFA 35,Blake Decker sacked by David Harris for a loss of 7 yards to the AFA 42,,
3rd and 17 at AFA 42,Blake Decker pass complete to Maika Mataele for 19 yds to the AFA 23 for a 1ST down,,
1st and 10 at AFA 23,Shaquille Murray-Lawrence run for 1 yd to the AFA 22,,
2nd and 9 at AFA 22,Blake Decker pass complete to Devonte Boyd for 7 yds to the AFA 15,,
3rd and 2 at AFA 15,Shaquille Murray-Lawrence run for 4 yds to the AFA 11 for a 1ST down,,
1st and 10 at AFA 11,"Blake Decker run for 11 yds for a TD, (Jonathan Leiva KICK)",0,7
"UNLV DRIVE TOTALS: 13 plays, 75 yards, 5:10"
Air Force at 9:43,,AFA,UNLV
,"Jonathan Leiva kickoff for 53 yds , Jon Lee return for 27 yds to the AFA 39",0,7
1st and 10 at AFA 39,Jacobi Owens run for no gain to the AFA 39,,
2nd and 10 at AFA 39,Jon Lee run for 12 yds to the UNLV 49 for a 1ST down,,
1st and 10 at UNLV 49,Shayne Davern run for 4 yds to the UNLV 45,,
2nd and 6 at UNLV 45,Kale Pearson pass complete to Garrett Griffin for 4 yds to the UNLV 41,,
3rd and 2 at UNLV 41,Kale Pearson run for 17 yds to the UNLV 24 for a 1ST down,,
1st and 10 at UNLV 24,Jacobi Owens run for 3 yds to the UNLV 21,,
2nd and 7 at UNLV 21,D.J. Johnson run for 2 yds to the UNLV 19,,
3rd and 5 at UNLV 19,Jacobi Owens run for a loss of 3 yards to the UNLV 22,,
4th and 8 at UNLV 22,Will Conant 39 yd FG GOOD,3,7
"AFA DRIVE TOTALS: 9 plays, 39 yards, 3:36"
UNLV at 6:07,,AFA,UNLV
,Drew Oehrle kickoff for 65 yds for a touchback,3,7
1st and 10 at UNLV 25,Blake Decker pass complete to Devonte Boyd for 1 yd to the UNLV 26,,
2nd and 9 at UNLV 26,Blake Decker pass complete to Devante Davis for 15 yds to the UNLV 41 for a 1ST down,,
1st and 10 at UNLV 41,Blake Decker run for 9 yds to the 50 yard line,,
2nd and 1 at 50,Blake Decker run for no gain to the 50 yard line,,
3rd and 1 at 50,Shaquille Murray-Lawrence run for a loss of 1 yard to the UNLV 49,,
4th and 2 at UNLV 49,"Logan Yunker punt for 13 yds, punt out-of-bounds at the AFA 38",,
"UNLV DRIVE TOTALS: 5 plays, 24 yards, 2:17"
Air Force at 3:50,,AFA,UNLV
1st and 10 at AFA 38,Kale Pearson run for 6 yds to the AFA 44,3,7
2nd and 4 at AFA 44,Jacobi Owens run for 8 yds to the UNLV 48 for a 1ST down,,
1st and 10 at UNLV 48,Kale Pearson pass incomplete to Garrett Griffin,,
2nd and 10 at UNLV 48,Kale Pearson run for 8 yds to the UNLV 40,,
3rd and 2 at UNLV 40,Shayne Davern run for 2 yds to the UNLV 38 for a 1ST down,,
1st and 10 at UNLV 38,Shayne Davern run for 15 yds to the UNLV 23 for a 1ST down,,
1st and 10 at UNLV 23,Matt Galland run for 9 yds to the UNLV 14,,
2nd and 1 at UNLV 14,D.J. Johnson run for 6 yds to the UNLV 8 for a 1ST down,,
1st and Goal at UNLV 8,"D.J. Johnson run for 8 yds for a TD, (Will Conant KICK)",10,7
"AFA DRIVE TOTALS: 9 plays, 62 yards, 3:01"
UNLV at 0:49,,AFA,UNLV
,Drew Oehrle kickoff for 65 yds for a touchback,10,7
1st and 10 at UNLV 25,Blake Decker pass incomplete to Devante Davis,,
2nd and 10 at UNLV 25,Shaquille Murray-Lawrence run for 3 yds to the UNLV 28,,
3rd and 7 at UNLV 28,Blake Decker pass complete to Shaquille Murray-Lawrence for 2 yds to the UNLV 30,,
,"Timeout AIR FORCE, clock 00:08",,
4th and 5 at UNLV 30,Logan Yunker punt for 48 yds,,
"UNLV DRIVE TOTALS: 3 plays, 5 yards, 0:47"
Air Force at 0:02,,AFA,UNLV
1st and 10 at AFA 22,Jon Lee run for 5 yds to the AFA 27,10,7
,End of 1st Quarter,,
2nd Quarter Play-by-Play
Air Force at 15:00,,AFA,UNLV
2nd and 5 at AFA 27,Jacobi Owens run for 11 yds to the AFA 38 for a 1ST down,10,7
1st and 10 at AFA 38,Shayne Davern run for 4 yds to the AFA 42,,
2nd and 6 at AFA 42,Jon Lee run for a loss of 2 yards to the AFA 40,,
3rd and 8 at AFA 40,"PEARSON, Kale pass incomplete to GALLAND, Matt, PENALTY LV pass interference (HODGE, Sidney) 15 yards to the LV45, 1ST DOWN AF, NO PLAY. for a 1ST down",,
1st and 10 at UNLV 45,Kale Pearson sacked by Josh Shirley and Tau Lotulelei for a loss of 1 yard to the UNLV 46,,
2nd and 11 at UNLV 46,Devin Rushing run for 4 yds to the UNLV 42,,
3rd and 7 at UNLV 42,Kale Pearson run for 5 yds to the UNLV 37,,
4th and 2 at UNLV 37,Jacobi Owens run for 5 yds to the UNLV 32 for a 1ST down,,
1st and 10 at UNLV 32,Shayne Davern run for a loss of 1 yard to the UNLV 33,,
2nd and 11 at UNLV 33,Kale Pearson run for 7 yds to the UNLV 26,,
3rd and 4 at UNLV 26,Jacobi Owens run for 5 yds to the UNLV 21 for a 1ST down,,
1st and 10 at UNLV 21,D.J. Johnson run for 4 yds to the UNLV 17,,
2nd and 6 at UNLV 17,Kale Pearson run for 6 yds to the UNLV 11 for a 1ST down,,
1st and 10 at UNLV 11,Shayne Davern run for 3 yds to the UNLV 8,,
2nd and 7 at UNLV 8,Jacobi Owens run for 5 yds to the UNLV 3,,
3rd and 2 at UNLV 3,Shayne Davern run for 2 yds to the UNLV 1 for a 1ST down,,
