,"t66 wins the coin toss, and will receive.",,
1st Quarter Play-by-Play,,,
,,,
t66 at 15:00,,t66,t433
,"Nathan Noble kickoff for 64 yds , Bryan Douglas return for 18 yds to the t66 19",0,0
1st and 10 at t66 19,Jay Ajayi run for 13 yds to the t66 32 for a 1ST down,,
1st and 10 at t66 32,Grant Hedrick run for 4 yds to the t66 36,,
2nd and 6 at t66 36,Grant Hedrick pass complete to Shane Williams-Rhodes for 2 yds to the t66 38,,
3rd and 4 at t66 38,Grant Hedrick pass complete to Jay Ajayi for 3 yds to the t66 41,,
4th and 1 at t66 41,"Sean Wale punt for 31 yds, fair catch by Anthony Alford at the t433 28",,
"t66 DRIVE TOTALS: 4 plays, 21 yards, 2:08",,,
t433 at 15:00,,t66,t433
1st and 10 at t433 28,"t433 Penalty, False Start (-5 Yards) to the t433 23",0,0
1st and 15 at t433 23,"t433 Penalty, False Start (-5 Yards) to the t433 18",,
1st and 20 at t433 18,Bo Wallace pass complete to Evan Engram for 9 yds to the t433 27,,
2nd and 11 at t433 27,"Bo Wallace pass complete to Laquon Treadwell for 2 yds to the t433 29 for a 1ST down BOISE ST Penalty, Personal Foul (TEAM) to the t433 44 for a 1ST down",,
1st and 10 at t433 44,Bo Wallace pass complete to Cody Core for 5 yds to the t433 49,,
2nd and 5 at t433 49,Bo Wallace run for 4 yds to the t66 47,,
3rd and 1 at t66 47,Bo Wallace pass complete to Cody Core for no gain to the t66 47,,
4th and 1 at t66 47,"Will Gleeson punt for 36 yds, downed at the t66 11",,
t66 at 12:52,,t66,t433
1st and 10 at t66 11,Grant Hedrick run for 5 yds to the t66 16,0,0
2nd and 5 at t66 16,Grant Hedrick pass complete to Jake Roh for 20 yds to the t66 36 for a 1ST down,,
1st and 10 at t66 36,Grant Hedrick pass incomplete,,
2nd and 10 at t66 36,Grant Hedrick pass complete to Shane Williams-Rhodes for 5 yds to the t66 41,,
3rd and 5 at t66 41,"t433 Penalty, Defensive Offside (Robert Nkemdiche) to the t66 46 for a 1ST down",,
1st and 10 at t66 46,Jay Ajayi run for a loss of 2 yards to the t66 44,,
2nd and 12 at t66 44,Grant Hedrick pass incomplete,,
3rd and 12 at t66 44,Grant Hedrick pass complete to Jay Ajayi for no gain to the t66 44,,
4th and 12 at t66 44,"Sean Wale punt for 30 yds, fair catch by Anthony Alford at the t433 26",,
"t433 DRIVE TOTALS: 5 plays, 25 yards, 2:10",,,
t433 at 15:00,,t66,t433
1st and 10 at t433 26,Bo Wallace pass intercepted Jeremy Ioane return for no gain to the t66 46,0,0
t66 at 10:42,,t66,t433
1st and 10 at t66 46,"BOISE ST Penalty, Delay of Game (-5 Yards) to the t66 41",0,0
1st and 15 at t66 41,Grant Hedrick pass complete to Jay Ajayi for 32 yds to the t433 27 for a 1ST down,,
1st and 10 at t433 27,Grant Hedrick pass complete to Shane Williams-Rhodes for a loss of 3 yards to the t433 30,,
2nd and 13 at t433 30,"Grant Hedrick pass complete to Matt Miller for 22 yds to the t433 8 for a 1ST down t433 Penalty, Personal Foul (Serderius Bryant) to the t433 4 for a 1ST down",,
1st and Goal at t433 4,"Jay Ajayi run for no gain to the t433 4 Jay Ajayi fumbled, recovered by t66",,
2nd and Goal at t433 4,Grant Hedrick run for 1 yd to the t433 3,,
3rd and Goal at t433 3,"Grant Hedrick pass intercepted, touchback. Senquez Golson return for no gain",,
"t66 DRIVE TOTALS: 7 plays, 33 yards, 3:02",,,
t433 at 15:00,,t66,t433
1st and 10 at t433 20,I'Tavius Mathers run for a loss of 1 yard to the t433 19,0,0
2nd and 11 at t433 19,Bo Wallace pass complete to Vince Sanders for 16 yds to the t433 35 for a 1ST down,,
1st and 10 at t433 35,"t433 Penalty, False Start (-5 Yards) to the t433 30",,
1st and 15 at t433 30,Bo Wallace pass complete to Evan Engram for 10 yds to the t433 40,,
2nd and 5 at t433 40,I'Tavius Mathers run for 5 yds to the t433 45 for a 1ST down,,
1st and 10 at t433 45,"t433 Penalty, False Start (-5 Yards) to the t433 40",,
1st and 15 at t433 40,I'Tavius Mathers run for a loss of 1 yard to the t433 39,,
2nd and 16 at t433 39,Bo Wallace pass incomplete to Evan Engram,,
3rd and 16 at t433 39,"t433 Penalty, False Start (-5 Yards) to the t433 34",,
3rd and 21 at t433 34,Bo Wallace pass complete to Vince Sanders for 20 yds to the t66 46,,
4th and 1 at t66 46,Jeremy Liggins run for 1 yd to the t66 45 for a 1ST down,,
1st and 10 at t66 45,"BOISE ST Penalty, Personal Foul (15 Yards) to the t66 30 for a 1ST down",,
1st and 10 at t66 30,"Bo Wallace pass complete to Cody Core for 30 yds for a TD, (Andrew Fletcher KICK)",0,7
t66 at 7:40,,t66,t433
,"Nathan Noble kickoff for 61 yds , Bryan Douglas return for 23 yds to the t66 27",0,7
1st and 10 at t66 27,Jay Ajayi run for 4 yds to the t66 31,,
2nd and 6 at t66 31,Grant Hedrick pass complete to Jay Ajayi for 4 yds to the t66 35,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
,,,
t66 at 15:00,,t66,t433
3rd and 2 at t66 35,Grant Hedrick run for 3 yds to the t66 38 for a 1ST down,0,7
1st and 10 at t66 38,Matt Miller pass incomplete to Alec Dhaenens,,
2nd and 10 at t66 38,Grant Hedrick pass intercepted C.J. Johnson return for no gain to the t66 40,,
"t66 DRIVE TOTALS: 1 play, 0 yards, 0:07",,,
t433 at 15:00,,t66,t433
1st and 10 at t66 40,Bo Wallace pass complete to Jaylen Walton for 12 yds to the t66 28 for a 1ST down,0,7
1st and 10 at t66 28,Jaylen Walton run for 6 yds to the t66 22,,
2nd and 4 at t66 22,Bo Wallace pass complete to Quincy Adeboyejo for a loss of 2 yards to the t66 24,,
3rd and 6 at t66 24,Bo Wallace pass intercepted Tyler Gray return for 7 yds to the t66 27,,
t66 at 7:33,,t66,t433
1st and 10 at t66 27,Jay Ajayi run for 7 yds to the t66 34,0,7
2nd and 3 at t66 34,Jay Ajayi run for 5 yds to the t66 39 for a 1ST down,,
1st and 10 at t66 39,Jay Ajayi run for 4 yds to the t66 43,,
2nd and 6 at t66 43,Grant Hedrick pass complete to Matt Miller for 14 yds to the t433 43 for a 1ST down,,
1st and 10 at t433 43,Jay Ajayi run for 7 yds to the t433 36,,
2nd and 3 at t433 36,Shane Williams-Rhodes run for 23 yds to the t433 13 for a 1ST down,,
1st and 10 at t433 13,Jay Ajayi run for 6 yds to the t433 7,,
2nd and 4 at t433 7,Grant Hedrick pass complete to Shane Williams-Rhodes for 6 yds to the t433 1 for a 1ST down,,
1st and Goal at t433 1,Jay Ajayi run for a loss of 1 yard to the t433 2,,
2nd and Goal at t433 2,Jay Ajayi run for 1 yd to the t433 1,,
3rd and Goal at t433 1,Jay Ajayi run for a loss of 2 yards to the t433 3,,
4th and Goal at t433 3,"BOISE ST Penalty, Delay of Game (-5 Yards) to the t433 8",,
4th and Goal at t433 8,Dan Goodale 25 yd FG GOOD,3,7
"t66 DRIVE TOTALS: 6 plays, 51 yards, 3:10",,,
t433 at 15:00,,t66,t433
,Dan Goodale kickoff for 65 yds for a touchback,3,7
1st and 10 at t433 25,I'Tavius Mathers run for 1 yd to the t433 26,,
2nd and 9 at t433 26,Bo Wallace pass complete to Laquon Treadwell for 31 yds to the t66 43 for a 1ST down,,
1st and 10 at t66 43,I'Tavius Mathers run for 3 yds to the t66 40,,
2nd and 7 at t66 40,Bo Wallace pass incomplete to Vince Sanders,,
3rd and 7 at t66 40,Bo Wallace pass incomplete to Laquon Treadwell,,
4th and 7 at t66 40,"Will Gleeson punt for 39 yds, downed at the t66 1",,
t66 at 4:23,,t66,t433
1st and 10 at t66 1,Grant Hedrick run for 2 yds to the t66 3,3,7
2nd and 8 at t66 3,Grant Hedrick pass intercepted Cody Prewitt return for 22 yds to the t66 13,,
"t66 DRIVE TOTALS: 2 plays, 2 yards, 0:26",,,
t433 at 15:00,,t66,t433
1st and 10 at t66 13,"t433 Penalty, False Start (-5 Yards) to the t66 18",3,7
1st and 15 at t66 18,Jaylen Walton run for a loss of 2 yards to the t66 20,,
2nd and 17 at t66 20,Jordan Wilkins run for no gain to the t66 20,,
3rd and 17 at t66 20,"Bo Wallace pass intercepted, touchback. Darian Thompson return for no gain",,
t66 at 0:49,,t66,t433
1st and 10 at t66 20,Jay Ajayi run for 2 yds to the t66 22,3,7
2nd and 8 at t66 22,Grant Hedrick run for 7 yds to the t66 29,,
3rd and 1 at t66 29,Jay Ajayi run for 2 yds to the t66 31 for a 1ST down,,
1st and 10 at t66 31,Grant Hedrick pass complete to Shane Williams-Rhodes for 3 yds to the t66 34,,
2nd and 7 at t66 34,Grant Hedrick pass complete to Shane Williams-Rhodes for 5 yds to the t66 39,,
3rd and 2 at t66 39,Grant Hedrick pass complete to Jake Roh for 1 yd to the t66 40,,
4th and 1 at t66 40,"Sean Wale punt for 48 yds , Markell Pack returns for no gain to the t433 40 t433 Penalty, Illegal Block (6 Yards) to the t433 6",,
"t66 DRIVE TOTALS: 5 plays, 11 yards, 1:26",,,
t433 at 15:00,,t66,t433
1st and 10 at t433 6,"t433 Penalty, False Start (-3 Yards) to the t433 3",3,7
1st and 13 at t433 3,Bo Wallace pass incomplete,,
2nd and 13 at t433 3,Bo Wallace run for 5 yds to the t433 8,,
,"Timeout BOISE ST, clock 00:56",,
3rd and 8 at t433 8,Bo Wallace pass complete to Evan Engram for 11 yds to the t433 19 for a 1ST down,,
1st and 10 at t433 19,Bo Wallace pass incomplete,,
2nd and 10 at t433 19,Bo Wallace pass complete to Mark Dodson for 4 yds to the t433 23,,
,"Timeout BOISE ST, clock 00:38",,
3rd and 6 at t433 23,Bo Wallace pass incomplete,,
4th and 6 at t433 23,"Will Gleeson punt for 70 yds, downed at the t66 7",,
t66 at 14:23,,t66,t433
1st and 10 at t66 7,TEAM run for a loss of 2 yards to the t66 5,3,7
,End of 2nd Quarter,,
"t433 DRIVE TOTALS: 4 plays, 16 yards, 1:09",,,
3rd Quarter Play-by-Play,,,
,,,
t433 at 15:00,,t66,t433
,Dan Goodale kickoff for 65 yds for a touchback,3,7
1st and 10 at t433 25,Bo Wallace sacked by Tyler Horn for a loss of 4 yards to the t433 21,,
2nd and 14 at t433 21,Bo Wallace pass complete to Jaylen Walton for 28 yds to the t433 49 for a 1ST down,,
1st and 10 at t433 49,I'Tavius Mathers run for 3 yds to the t66 48,,
2nd and 7 at t66 48,I'Tavius Mathers run for 6 yds to the t66 42,,
3rd and 1 at t66 42,Bo Wallace run for 3 yds to the t66 39 for a 1ST down,,
1st and 10 at t66 39,Jordan Wilkins run for 1 yd to the t66 38,,
2nd and 9 at t66 38,Bo Wallace pass complete to Evan Engram for 11 yds to the t66 27 for a 1ST down,,
1st and 10 at t66 27,Jaylen Walton run for a loss of 2 yards to the t66 29,,
2nd and 12 at t66 29,Bo Wallace pass complete to Laquon Treadwell for 6 yds to the t66 23,,
3rd and 6 at t66 23,"Wallace, Bo pass incomplete, PENALTY BOISEST offside 4 yards to the BOISEST18, NO PLAY.",,
3rd and 1 at t66 18,Bo Wallace run for no gain to the t66 18,,
4th and 1 at t66 18,DeVante Kincade run for a loss of 2 yards to the t66 20,,
t66 at 13:14,,t66,t433
1st and 10 at t66 20,Grant Hedrick pass complete to Matt Miller for 11 yds to the t66 31 for a 1ST down,3,7
1st and 10 at t66 31,Grant Hedrick run for a loss of 3 yards to the t66 28,,
2nd and 13 at t66 28,Grant Hedrick pass complete to Matt Miller for 15 yds to the t66 43 for a 1ST down,,
1st and 10 at t66 43,Jay Ajayi run for 5 yds to the t66 48,,
2nd and 5 at t66 48,Matt Miller pass incomplete,,
3rd and 5 at t66 48,"t433 Penalty, Defensive Offside (5 Yards) to the t433 47 for a 1ST down",,
1st and 10 at t433 47,Grant Hedrick pass complete to Shane Williams-Rhodes for 4 yds to the t433 43,,
2nd and 6 at t433 43,Jay Ajayi run for 1 yd to the t433 42,,
3rd and 5 at t433 42,Grant Hedrick run for 2 yds to the t433 40,,
4th and 3 at t433 40,"BOISE ST Penalty, Delay of Game (-5 Yards) to the t433 45",,
4th and 8 at t433 45,"Sean Wale punt for 27 yds, fair catch by Anthony Alford at the t433 18",,
"t66 DRIVE TOTALS: 12 plays, 65 yards, 5:16",,,
t433 at 15:00,,t66,t433
1st and 10 at t433 18,Bo Wallace run for no gain to the t433 18,3,7
2nd and 10 at t433 18,Bo Wallace pass complete to Jaylen Walton for 11 yds to the t433 29 for a 1ST down,,
1st and 10 at t433 29,Jaylen Walton run for a loss of 5 yards to the t433 24,,
2nd and 15 at t433 24,Bo Wallace pass complete to Mark Dodson for a loss of 2 yards to the t433 22,,
3rd and 17 at t433 22,Bo Wallace pass incomplete to Evan Engram,,
4th and 17 at t433 22,"Will Gleeson punt for 44 yds , Shane Williams-Rhodes returns for a loss of 2 yards to the t66 32",,
t66 at 7:58,,t66,t433
1st and 10 at t66 32,Devan Demas run for 3 yds to the t66 35,3,7
2nd and 7 at t66 35,Grant Hedrick pass complete to Matt Miller for 2 yds to the t66 37,,
3rd and 5 at t66 37,Grant Hedrick pass complete to Matt Miller for 20 yds to the t433 43 for a 1ST down,,
1st and 10 at t433 43,Grant Hedrick pass complete to Shane Williams-Rhodes for 4 yds to the t433 39,,
2nd and 6 at t433 39,Grant Hedrick run for 11 yds to the t433 28 for a 1ST down,,
1st and 10 at t433 28,Grant Hedrick pass complete to Shane Williams-Rhodes for no gain to the t433 28,,
