,"SMU wins the coin toss, and will receive.",,
1st Quarter Play-by-Play,,,
,,,
SMU at 15:00,,SMU,BU
,Spencer Evans kickoff for 65 yds for a touchback,0,0
1st and 10 at SMU 25,Neal Burcham pass complete to Kevin Pope for 1 yd to the SMU 26,,
2nd and 9 at SMU 26,Neal Burcham pass incomplete,,
,"Timeout SMU, clock 14:13",,
3rd and 9 at SMU 26,Neal Burcham pass complete to Kevin Pope for 2 yds to the SMU 28,,
4th and 7 at SMU 28,"Jackson Koonce punt for 34 yds , Levi Norwood returns for 4 yds to the Bayl 42",,
"SMU DRIVE TOTALS: 3 plays, 3 yards, 1:38",,,
Baylor at 13:22,,SMU,BU
1st and 10 at BAY 42,"BAYLOR Penalty, False Start (-5 Yards) to the Bayl 37",0,0
1st and 15 at BAY 37,Bryce Petty pass complete to Jay Lee for 8 yds to the Bayl 45,,
2nd and 7 at BAY 45,Shock Linwood run for 10 yds to the SMU 45 for a 1ST down,,
1st and 10 at SMU 45,Bryce Petty pass incomplete,,
2nd and 10 at SMU 45,Bryce Petty pass complete to Jay Lee for 6 yds to the SMU 39,,
3rd and 4 at SMU 39,Bryce Petty run for 16 yds to the SMU 23 for a 1ST down,,
1st and 10 at SMU 23,Shock Linwood run for 12 yds to the SMU 11 for a 1ST down,,
1st and 10 at SMU 11,Bryce Petty pass incomplete to Jay Lee,,
2nd and 10 at SMU 11,Shock Linwood run for 5 yds to the SMU 6,,
3rd and 5 at SMU 6,Bryce Petty pass incomplete,,
4th and 5 at SMU 6,Chris Callahan 23 Yd Field Goal,0,3
"BAY DRIVE TOTALS: 10 plays, 52 yards, 1:44",,,
SMU at 11:37,,SMU,BU
,"Spencer Evans kickoff for 65 yds , Deion Sanders Jr. return for 23 yds to the SMU 23",0,3
1st and 10 at SMU 23,Neal Burcham pass incomplete to Stephen Nelson,,
2nd and 10 at SMU 23,Neal Burcham pass incomplete to Der'rikk Thompson,,
3rd and 10 at SMU 23,Prescott Line run for 11 yds to the SMU 34 for a 1ST down,,
1st and 10 at SMU 34,Neal Burcham pass complete to Cedric Lancaster for 2 yds to the SMU 36,,
2nd and 8 at SMU 36,Neal Burcham pass incomplete to Kevin Pope,,
3rd and 8 at SMU 36,Neal Burcham pass complete to Darius Joseph for 4 yds to the SMU 40,,
4th and 4 at SMU 40,"Jackson Koonce punt for 30 yds, downed at the Bayl 30",,
"SMU DRIVE TOTALS: 6 plays, 17 yards, 2:07",,,
Baylor at 9:30,,SMU,BU
1st and 10 at BAY 30,Bryce Petty pass complete to Jay Lee for 16 yds to the Bayl 46 for a 1ST down,0,3
1st and 10 at BAY 46,Bryce Petty pass incomplete to Antwan Goodley,,
2nd and 10 at BAY 46,Devin Chafin run for 1 yd to the Bayl 47,,
3rd and 9 at BAY 47,Bryce Petty pass incomplete to Jay Lee,,
