,"BOISE STATE wins the coin toss, and will receive.",,
1st Quarter Play-by-Play,,,
,,,
Boise State at 15:00,,BSU,MISS
,"Nathan Noble kickoff for 64 yds , Bryan Douglas return for 18 yds to the BoiSt 19",0,0
1st and 10 at BSU 19,Jay Ajayi run for 13 yds to the BoiSt 32 for a 1ST down,,
1st and 10 at BSU 32,Grant Hedrick run for 4 yds to the BoiSt 36,,
2nd and 6 at BSU 36,Grant Hedrick pass complete to Shane Williams-Rhodes for 2 yds to the BoiSt 38,,
3rd and 4 at BSU 38,Grant Hedrick pass complete to Jay Ajayi for 3 yds to the BoiSt 41,,
4th and 1 at BSU 41,"Sean Wale punt for 31 yds, fair catch by Anthony Alford at the Miss 28",,
"BSU DRIVE TOTALS: 4 plays, 21 yards, 2:08",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at MISS 28,"OLE MISS Penalty, False Start (-5 Yards) to the Miss 23",0,0
1st and 15 at MISS 23,"OLE MISS Penalty, False Start (-5 Yards) to the Miss 18",,
1st and 20 at MISS 18,Bo Wallace pass complete to Evan Engram for 9 yds to the Miss 27,,
2nd and 11 at MISS 27,"Bo Wallace pass complete to Laquon Treadwell for 2 yds to the Miss 29 for a 1ST down BOISE ST Penalty, Personal Foul (TEAM) to the Miss 44 for a 1ST down",,
1st and 10 at MISS 44,Bo Wallace pass complete to Cody Core for 5 yds to the Miss 49,,
2nd and 5 at MISS 49,Bo Wallace run for 4 yds to the BoiSt 47,,
3rd and 1 at BSU 47,Bo Wallace pass complete to Cody Core for no gain to the BoiSt 47,,
4th and 1 at BSU 47,"Will Gleeson punt for 36 yds, downed at the BoiSt 11",,
Boise State at 12:52,,BSU,MISS
1st and 10 at BSU 11,Grant Hedrick run for 5 yds to the BoiSt 16,0,0
2nd and 5 at BSU 16,Grant Hedrick pass complete to Jake Roh for 20 yds to the BoiSt 36 for a 1ST down,,
1st and 10 at BSU 36,Grant Hedrick pass incomplete,,
2nd and 10 at BSU 36,Grant Hedrick pass complete to Shane Williams-Rhodes for 5 yds to the BoiSt 41,,
3rd and 5 at BSU 41,"OLE MISS Penalty, Defensive Offside (Robert Nkemdiche) to the BoiSt 46 for a 1ST down",,
1st and 10 at BSU 46,Jay Ajayi run for a loss of 2 yards to the BoiSt 44,,
2nd and 12 at BSU 44,Grant Hedrick pass incomplete,,
3rd and 12 at BSU 44,Grant Hedrick pass complete to Jay Ajayi for no gain to the BoiSt 44,,
4th and 12 at BSU 44,"Sean Wale punt for 30 yds, fair catch by Anthony Alford at the Miss 26",,
"MISS DRIVE TOTALS: 5 plays, 25 yards, 2:10",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at MISS 26,Bo Wallace pass intercepted Jeremy Ioane return for no gain to the BoiSt 46,0,0
Boise State at 10:42,,BSU,MISS
1st and 10 at BSU 46,"BOISE ST Penalty, Delay of Game (-5 Yards) to the BoiSt 41",0,0
1st and 15 at BSU 41,Grant Hedrick pass complete to Jay Ajayi for 32 yds to the Miss 27 for a 1ST down,,
1st and 10 at MISS 27,Grant Hedrick pass complete to Shane Williams-Rhodes for a loss of 3 yards to the Miss 30,,
2nd and 13 at MISS 30,"Grant Hedrick pass complete to Matt Miller for 22 yds to the Miss 8 for a 1ST down OLE MISS Penalty, Personal Foul (Serderius Bryant) to the Miss 4 for a 1ST down",,
1st and Goal at MISS 4,"Jay Ajayi run for no gain to the Miss 4 Jay Ajayi fumbled, recovered by BoiSt",,
2nd and Goal at MISS 4,Grant Hedrick run for 1 yd to the Miss 3,,
3rd and Goal at MISS 3,"Grant Hedrick pass intercepted, touchback. Senquez Golson return for no gain",,
"BSU DRIVE TOTALS: 7 plays, 33 yards, 3:02",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at MISS 20,I'Tavius Mathers run for a loss of 1 yard to the Miss 19,0,0
2nd and 11 at MISS 19,Bo Wallace pass complete to Vince Sanders for 16 yds to the Miss 35 for a 1ST down,,
1st and 10 at MISS 35,"OLE MISS Penalty, False Start (-5 Yards) to the Miss 30",,
1st and 15 at MISS 30,Bo Wallace pass complete to Evan Engram for 10 yds to the Miss 40,,
2nd and 5 at MISS 40,I'Tavius Mathers run for 5 yds to the Miss 45 for a 1ST down,,
1st and 10 at MISS 45,"OLE MISS Penalty, False Start (-5 Yards) to the Miss 40",,
1st and 15 at MISS 40,I'Tavius Mathers run for a loss of 1 yard to the Miss 39,,
2nd and 16 at MISS 39,Bo Wallace pass incomplete to Evan Engram,,
3rd and 16 at MISS 39,"OLE MISS Penalty, False Start (-5 Yards) to the Miss 34",,
3rd and 21 at MISS 34,Bo Wallace pass complete to Vince Sanders for 20 yds to the BoiSt 46,,
4th and 1 at BSU 46,Jeremy Liggins run for 1 yd to the BoiSt 45 for a 1ST down,,
1st and 10 at BSU 45,"BOISE ST Penalty, Personal Foul (15 Yards) to the BoiSt 30 for a 1ST down",,
1st and 10 at BSU 30,"Bo Wallace pass complete to Cody Core for 30 yds for a TD, (Andrew Fletcher KICK)",0,7
Boise State at 7:40,,BSU,MISS
,"Nathan Noble kickoff for 61 yds , Bryan Douglas return for 23 yds to the BoiSt 27",0,7
1st and 10 at BSU 27,Jay Ajayi run for 4 yds to the BoiSt 31,,
2nd and 6 at BSU 31,Grant Hedrick pass complete to Jay Ajayi for 4 yds to the BoiSt 35,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
,,,
Boise State at 15:00,,BSU,MISS
3rd and 2 at BSU 35,Grant Hedrick run for 3 yds to the BoiSt 38 for a 1ST down,0,7
1st and 10 at BSU 38,Matt Miller pass incomplete to Alec Dhaenens,,
2nd and 10 at BSU 38,Grant Hedrick pass intercepted C.J. Johnson return for no gain to the BoiSt 40,,
"BSU DRIVE TOTALS: 1 play, 0 yards, 0:07",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at BSU 40,Bo Wallace pass complete to Jaylen Walton for 12 yds to the BoiSt 28 for a 1ST down,0,7
1st and 10 at BSU 28,Jaylen Walton run for 6 yds to the BoiSt 22,,
2nd and 4 at BSU 22,Bo Wallace pass complete to Quincy Adeboyejo for a loss of 2 yards to the BoiSt 24,,
3rd and 6 at BSU 24,Bo Wallace pass intercepted Tyler Gray return for 7 yds to the BoiSt 27,,
Boise State at 7:33,,BSU,MISS
1st and 10 at BSU 27,Jay Ajayi run for 7 yds to the BoiSt 34,0,7
2nd and 3 at BSU 34,Jay Ajayi run for 5 yds to the BoiSt 39 for a 1ST down,,
1st and 10 at BSU 39,Jay Ajayi run for 4 yds to the BoiSt 43,,
2nd and 6 at BSU 43,Grant Hedrick pass complete to Matt Miller for 14 yds to the Miss 43 for a 1ST down,,
1st and 10 at MISS 43,Jay Ajayi run for 7 yds to the Miss 36,,
2nd and 3 at MISS 36,Shane Williams-Rhodes run for 23 yds to the Miss 13 for a 1ST down,,
1st and 10 at MISS 13,Jay Ajayi run for 6 yds to the Miss 7,,
2nd and 4 at MISS 7,Grant Hedrick pass complete to Shane Williams-Rhodes for 6 yds to the Miss 1 for a 1ST down,,
1st and Goal at MISS 1,Jay Ajayi run for a loss of 1 yard to the Miss 2,,
2nd and Goal at MISS 2,Jay Ajayi run for 1 yd to the Miss 1,,
3rd and Goal at MISS 1,Jay Ajayi run for a loss of 2 yards to the Miss 3,,
4th and Goal at MISS 3,"BOISE ST Penalty, Delay of Game (-5 Yards) to the Miss 8",,
4th and Goal at MISS 8,Dan Goodale 25 yd FG GOOD,3,7
"BSU DRIVE TOTALS: 6 plays, 51 yards, 3:10",,,
Ole Miss at 15:00,,BSU,MISS
,Dan Goodale kickoff for 65 yds for a touchback,3,7
1st and 10 at MISS 25,I'Tavius Mathers run for 1 yd to the Miss 26,,
2nd and 9 at MISS 26,Bo Wallace pass complete to Laquon Treadwell for 31 yds to the BoiSt 43 for a 1ST down,,
1st and 10 at BSU 43,I'Tavius Mathers run for 3 yds to the BoiSt 40,,
2nd and 7 at BSU 40,Bo Wallace pass incomplete to Vince Sanders,,
3rd and 7 at BSU 40,Bo Wallace pass incomplete to Laquon Treadwell,,
4th and 7 at BSU 40,"Will Gleeson punt for 39 yds, downed at the BoiSt 1",,
Boise State at 4:23,,BSU,MISS
1st and 10 at BSU 1,Grant Hedrick run for 2 yds to the BoiSt 3,3,7
2nd and 8 at BSU 3,Grant Hedrick pass intercepted Cody Prewitt return for 22 yds to the BoiSt 13,,
"BSU DRIVE TOTALS: 2 plays, 2 yards, 0:26",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at BSU 13,"OLE MISS Penalty, False Start (-5 Yards) to the BoiSt 18",3,7
1st and 15 at BSU 18,Jaylen Walton run for a loss of 2 yards to the BoiSt 20,,
2nd and 17 at BSU 20,Jordan Wilkins run for no gain to the BoiSt 20,,
3rd and 17 at BSU 20,"Bo Wallace pass intercepted, touchback. Darian Thompson return for no gain",,
Boise State at 0:49,,BSU,MISS
1st and 10 at BSU 20,Jay Ajayi run for 2 yds to the BoiSt 22,3,7
2nd and 8 at BSU 22,Grant Hedrick run for 7 yds to the BoiSt 29,,
3rd and 1 at BSU 29,Jay Ajayi run for 2 yds to the BoiSt 31 for a 1ST down,,
1st and 10 at BSU 31,Grant Hedrick pass complete to Shane Williams-Rhodes for 3 yds to the BoiSt 34,,
2nd and 7 at BSU 34,Grant Hedrick pass complete to Shane Williams-Rhodes for 5 yds to the BoiSt 39,,
3rd and 2 at BSU 39,Grant Hedrick pass complete to Jake Roh for 1 yd to the BoiSt 40,,
4th and 1 at BSU 40,"Sean Wale punt for 48 yds , Markell Pack returns for no gain to the Miss 40 OLE MISS Penalty, Illegal Block (6 Yards) to the Miss 6",,
"BSU DRIVE TOTALS: 5 plays, 11 yards, 1:26",,,
Ole Miss at 15:00,,BSU,MISS
1st and 10 at MISS 6,"OLE MISS Penalty, False Start (-3 Yards) to the Miss 3",3,7
1st and 13 at MISS 3,Bo Wallace pass incomplete,,
2nd and 13 at MISS 3,Bo Wallace run for 5 yds to the Miss 8,,
,"Timeout BOISE ST, clock 00:56",,
3rd and 8 at MISS 8,Bo Wallace pass complete to Evan Engram for 11 yds to the Miss 19 for a 1ST down,,
1st and 10 at MISS 19,Bo Wallace pass incomplete,,
2nd and 10 at MISS 19,Bo Wallace pass complete to Mark Dodson for 4 yds to the Miss 23,,
,"Timeout BOISE ST, clock 00:38",,
3rd and 6 at MISS 23,Bo Wallace pass incomplete,,
4th and 6 at MISS 23,"Will Gleeson punt for 70 yds, downed at the BoiSt 7",,
Boise State at 14:23,,BSU,MISS
1st and 10 at BSU 7,TEAM run for a loss of 2 yards to the BoiSt 5,3,7
,End of 2nd Quarter,,
"MISS DRIVE TOTALS: 4 plays, 16 yards, 1:09",,,
3rd Quarter Play-by-Play,,,
,,,
Ole Miss at 15:00,,BSU,MISS
,Dan Goodale kickoff for 65 yds for a touchback,3,7
1st and 10 at MISS 25,Bo Wallace sacked by Tyler Horn for a loss of 4 yards to the Miss 21,,
2nd and 14 at MISS 21,Bo Wallace pass complete to Jaylen Walton for 28 yds to the Miss 49 for a 1ST down,,
1st and 10 at MISS 49,I'Tavius Mathers run for 3 yds to the BoiSt 48,,
2nd and 7 at BSU 48,I'Tavius Mathers run for 6 yds to the BoiSt 42,,
3rd and 1 at BSU 42,Bo Wallace run for 3 yds to the BoiSt 39 for a 1ST down,,
