,"BAYLOR wins the coin toss, and will receive.",,
1st Quarter Play-by-Play,,,
,,,
Baylor at 15:00,,BU,BUF
,"Patrick Clarke kickoff for 37 yds , Trevor Clemons-Valdez return for 6 yds to the Bayl 34",0,0
1st and 10 at BAY 34,Shock Linwood run for no gain to the Bayl 34,,
2nd and 10 at BAY 34,Bryce Petty pass complete to Jay Lee for 34 yds to the Buff 32 for a 1ST down,,
1st and 10 at BUFF 32,Bryce Petty pass complete to Shock Linwood for 4 yds to the Buff 28,,
2nd and 6 at BUFF 28,Shock Linwood run for 4 yds to the Buff 24,,
3rd and 2 at BUFF 24,Shock Linwood run for 1 yd to the Buff 23,,
,"Timeout BAYLOR, clock 13:20",,
4th and 1 at BUFF 23,Shock Linwood run for 5 yds to the Buff 18 for a 1ST down,,
1st and 10 at BUFF 18,Johnny Jefferson run for 3 yds to the Buff 15,,
2nd and 7 at BUFF 15,Johnny Jefferson run for 1 yd to the Buff 14,,
,"Timeout BAYLOR, clock 11:55",,
3rd and 6 at BUFF 14,Bryce Petty pass complete to Davion Hall for 7 yds to the Buff 7 for a 1ST down,,
1st and Goal at BUFF 7,Shock Linwood run for 2 yds to the Buff 5,,
2nd and Goal at BUFF 5,Bryce Petty run for 3 yds to the Buff 2,,
3rd and Goal at BUFF 2,"Shock Linwood run for 2 yds for a TD, (Chris Callahan KICK)",7,0
"BAY DRIVE TOTALS: 12 plays, 66 yards, 4:32",,,
Buffalo at 10:28,,BU,BUF
,"Spencer Evans kickoff for 58 yds , Devin Campbell return for 17 yds to the Buff 24",7,0
1st and 10 at BUFF 24,Joe Licata pass complete to Devon Hughes for 5 yds to the Buff 29,,
2nd and 5 at BUFF 29,Anthone Taylor run for a loss of 2 yards to the Buff 27,,
3rd and 7 at BUFF 27,Joe Licata pass incomplete to Anthone Taylor,,
4th and 7 at BUFF 27,"Tyler Grassman punt for 64 yds, downed at the Bayl 9",,
"BUFF DRIVE TOTALS: 3 plays, 3 yards, 1:10",,,
Baylor at 9:18,,BU,BUF
1st and 10 at BAY 9,Johnny Jefferson run for 2 yds to the Bayl 11,7,0
2nd and 8 at BAY 11,"Bryce Petty pass complete to KD Cannon for 89 yds for a TD, (Chris Callahan KICK)",14,0
"BAY DRIVE TOTALS: 2 plays, 91 yards, 0:34",,,
Buffalo at 8:44,,BU,BUF
,"Spencer Evans kickoff for 62 yds , Devin Campbell return for 18 yds to the Buff 21",14,0
1st and 10 at BUFF 21,Anthone Taylor run for 3 yds to the Buff 24,,
2nd and 7 at BUFF 24,Anthone Taylor run for 1 yd to the Buff 25,,
3rd and 6 at BUFF 25,Joe Licata sacked by Shawn Oakman for a loss of 9 yards to the Buff 16,,
4th and 15 at BUFF 16,"Tyler Grassman punt for 42 yds, downed at the Bayl 42",,
"BUFF DRIVE TOTALS: 3 plays, -5 yards, 2:16",,,
Baylor at 6:28,,BU,BUF
1st and 10 at BAY 42,Bryce Petty pass complete to KD Cannon for 7 yds to the Bayl 49,14,0
2nd and 3 at BAY 49,Bryce Petty pass complete to Davion Hall for 21 yds to the Buff 30 for a 1ST down,,
1st and 10 at BUFF 30,Shock Linwood run for no gain to the Buff 30,,
2nd and 10 at BUFF 30,Shock Linwood run for 6 yds to the Buff 24,,
,"Timeout BUFFALO, clock 05:20",,
3rd and 4 at BUFF 24,"Shock Linwood run for 24 yds for a TD, (Chris Callahan KICK)",21,0
"BAY DRIVE TOTALS: 5 plays, 58 yards, 1:13",,,
