,"TEXAS A&M wins the coin toss, and will receive.",,
1st Quarter Play-by-Play,,,
,,,
Texas A&M at 15:00,,TA&M,USC
,"Landon Ard kickoff for 64 yds , Trey Williams return for 32 yds to the TexAM 33",0,0
1st and 10 at TA&M 33,Brandon Williams run for 7 yds to the TexAM 40,,
2nd and 3 at TA&M 40,Kenny Hill pass complete to Brandon Williams for 13 yds to the SCaro 47 for a 1ST down,,
1st and 10 at SC 47,Kenny Hill pass incomplete to Ricky Seals-Jones,,
2nd and 10 at SC 47,Brandon Williams run for 7 yds to the SCaro 40,,
3rd and 3 at SC 40,Kenny Hill pass complete to Cameron Clear for 12 yds to the SCaro 28 for a 1ST down,,
1st and 10 at SC 28,Kenny Hill pass complete to Malcome Kennedy for 2 yds to the SCaro 26,,
2nd and 8 at SC 26,Tra Carson run for 3 yds to the SCaro 23,,
3rd and 5 at SC 23,Kenny Hill pass complete to Ricky Seals-Jones for 22 yds to the SCaro 1 for a 1ST down,,
1st and Goal at SC 1,"Tra Carson run for 1 yd for a TD, (Josh Lambo KICK)",7,0
"TA&M DRIVE TOTALS: 9 plays, 67 yards, 3:33",,,
South Carolina at 11:27,,TA&M,USC
,"Taylor Bertolet kickoff for 65 yds , Shon Carson return for 18 yds to the SCaro 18",7,0
1st and 10 at SC 18,Dylan Thompson pass incomplete,,
2nd and 10 at SC 18,"Dylan Thompson pass incomplete to Pharoh Cooper, broken up by Armani Watts",,
3rd and 10 at SC 18,"TEXAS A&M Penalty, Defensive Pass Interference (Deshazor Everett) to the SCaro 32 for a 1ST down",,
1st and 10 at SC 32,Brandon Wilds run for 2 yds to the SCaro 34,,
2nd and 8 at SC 34,Brandon Wilds run for a loss of 1 yard to the SCaro 33,,
3rd and 9 at SC 33,Dylan Thompson pass incomplete to Jerell Adams,,
4th and 9 at SC 33,"Tyler Hull punt for 47 yds , Speedy Noil returns for no gain to the TexAM 20 TEXAS A&M Penalty, Illegal Block (10 Yards) to the TexAM 10",,
"SC DRIVE TOTALS: 5 plays, 15 yards, 1:45",,,
Texas A&M at 9:42,,TA&M,USC
1st and 10 at TA&M 10,Tra Carson run for 15 yds to the TexAM 25 for a 1ST down,7,0
1st and 10 at TA&M 25,Kenny Hill pass complete to Malcome Kennedy for 1 yd to the TexAM 26,,
2nd and 9 at TA&M 26,Kenny Hill pass complete to Josh Reynolds for 19 yds to the TexAM 45 for a 1ST down,,
1st and 10 at TA&M 45,Kenny Hill pass incomplete to Ricky Seals-Jones,,
2nd and 10 at TA&M 45,Trey Williams run for 3 yds to the TexAM 48,,
3rd and 7 at TA&M 48,Kenny Hill run for 9 yds to the SCaro 43 for a 1ST down,,
1st and 10 at SC 43,Brandon Williams run for 3 yds to the SCaro 40,,
2nd and 7 at SC 40,Kenny Hill pass complete to Sabian Holmes for 18 yds to the SCaro 22 for a 1ST down,,
1st and 10 at SC 22,Kenny Hill pass complete to Josh Reynolds for 3 yds to the SCaro 19,,
,"Timeout TEXAS A&M, clock 05:41",,
2nd and 7 at SC 19,Tra Carson run for 4 yds to the SCaro 15,,
3rd and 3 at SC 15,Kenny Hill pass incomplete to Speedy Noil,,
4th and 3 at SC 15,Josh Lambo 33 yd FG GOOD,10,0
"TA&M DRIVE TOTALS: 12 plays, 75 yards, 4:40",,,
South Carolina at 5:02,,TA&M,USC
,Taylor Bertolet kickoff for 65 yds for a touchback,10,0
1st and 10 at SC 25,Mike Davis run for 4 yds to the SCaro 29,,
2nd and 6 at SC 29,Dylan Thompson pass complete to Shaq Roland for 2 yds to the SCaro 31,,
3rd and 4 at SC 31,"Dylan Thompson pass complete to Nick Jones for 69 yds for a TD, (Elliott Fry KICK)",10,7
"SC DRIVE TOTALS: 3 plays, 75 yards, 1:18",,,
Texas A&M at 3:44,,TA&M,USC
,Landon Ard kickoff for 65 yds for a touchback,10,7
1st and 10 at TA&M 25,Kenny Hill pass complete to Speedy Noil for 15 yds to the TexAM 40 for a 1ST down,,
1st and 10 at TA&M 40,Kenny Hill pass complete to Speedy Noil for no gain to the TexAM 40,,
2nd and 10 at TA&M 40,Kenny Hill run for a loss of 6 yards to the TexAM 34,,
3rd and 16 at TA&M 34,Trey Williams run for 14 yds to the TexAM 48,,
4th and 2 at TA&M 48,"Drew Kaser punt for 52 yds for a touchback TEXAS A&M Penalty, Illegal Motion (5 Yards)",,
"TA&M DRIVE TOTALS: 4 plays, 23 yards, 1:54",,,
South Carolina at 1:50,,TA&M,USC
1st and 10 at SC 25,Mike Davis run for 4 yds to the SCaro 29,10,7
2nd and 6 at SC 29,Dylan Thompson pass complete to Rory Anderson for 7 yds to the SCaro 36 for a 1ST down,,
1st and 10 at SC 36,Mike Davis run for 4 yds to the SCaro 40,,
2nd and 6 at SC 40,Mike Davis run for 7 yds to the SCaro 47 for a 1ST down,,
1st and 10 at SC 47,Mike Davis run for no gain to the SCaro 47,,
,End of 1st Quarter,,
2nd Quarter Play-by-Play,,,
,,,
South Carolina at 15:00,,TA&M,USC
2nd and 10 at SC 47,Dylan Thompson pass incomplete to Rory Anderson,10,7
3rd and 10 at SC 47,Dylan Thompson sacked by A.J. Hilliard for a loss of 2 yards to the SCaro 45,,
4th and 12 at SC 45,"Tyler Hull punt for 40 yds, fair catch by Speedy Noil at the TexAM 15",,
"SC DRIVE TOTALS: 7 plays, 20 yards, 2:32",,,
Texas A&M at 14:18,,TA&M,USC
1st and 10 at TA&M 15,Trey Williams run for 11 yds to the TexAM 26 for a 1ST down,10,7
1st and 10 at TA&M 26,Kenny Hill pass complete to Malcome Kennedy for 13 yds to the TexAM 39 for a 1ST down,,
1st and 10 at TA&M 39,Kenny Hill pass complete to Malcome Kennedy for 6 yds to the TexAM 45,,
2nd and 4 at TA&M 45,Kenny Hill pass complete to Ricky Seals-Jones for 21 yds to the SCaro 34 for a 1ST down,,
1st and 10 at SC 34,Kenny Hill pass complete to Edward Pope for 15 yds to the SCaro 19 for a 1ST down,,
1st and 10 at SC 19,Trey Williams run for 7 yds to the SCaro 12,,
,"Timeout SOUTH CAROLINA, clock 12:26",,
2nd and 3 at SC 12,Kenny Hill pass complete to Malcome Kennedy for 9 yds to the SCaro 3 for a 1ST down,,
1st and Goal at SC 3,"Kenny Hill pass incomplete to Sabian Holmes, broken up by T.J. Gurley",,
2nd and Goal at SC 3,"Kenny Hill pass complete to Ricky Seals-Jones for 3 yds for a TD, (Josh Lambo KICK)",17,7
"TA&M DRIVE TOTALS: 9 plays, 85 yards, 2:22",,,
South Carolina at 11:56,,TA&M,USC
,"Taylor Bertolet kickoff for 61 yds , Sidney Rhodes return for 23 yds to the SCaro 27",17,7
1st and 10 at SC 27,Damiere Byrd run for 8 yds to the SCaro 35,,
2nd and 2 at SC 35,Brandon Wilds run for 5 yds to the SCaro 40 for a 1ST down,,
1st and 10 at SC 40,Brandon Wilds run for 1 yd to the SCaro 41,,
2nd and 9 at SC 41,Dylan Thompson pass complete to Jerell Adams for 13 yds to the TexAM 46 for a 1ST down,,
1st and 10 at TA&M 46,Dylan Thompson pass incomplete to Rory Anderson,,
2nd and 10 at TA&M 46,"Dylan Thompson pass complete to Damiere Byrd for 46 yds for a TD, (Elliott Fry KICK)",17,14
"SC DRIVE TOTALS: 6 plays, 73 yards, 2:09",,,
Texas A&M at 9:47,,TA&M,USC
,Landon Ard kickoff for 65 yds for a touchback,17,14
1st and 10 at TA&M 25,Kenny Hill pass complete to Malcome Kennedy for 7 yds to the TexAM 32,,
2nd and 3 at TA&M 32,Kenny Hill run for 1 yd to the TexAM 33,,
3rd and 2 at TA&M 33,Brandon Williams run for 5 yds to the TexAM 38 for a 1ST down,,
1st and 10 at TA&M 38,Kenny Hill pass complete to Ricky Seals-Jones for 19 yds to the SCaro 43 for a 1ST down,,
1st and 10 at SC 43,Kenny Hill pass complete to Tra Carson for 16 yds to the SCaro 27 for a 1ST down,,
1st and 10 at SC 27,Kenny Hill pass complete to Josh Reynolds for 13 yds to the SCaro 14 for a 1ST down,,
1st and 10 at SC 14,Kenny Hill pass incomplete,,
2nd and 10 at SC 14,"Kenny Hill pass complete to Edward Pope for 14 yds for a TD, (Josh Lambo KICK)",24,14
"TA&M DRIVE TOTALS: 8 plays, 75 yards, 2:40",,,
South Carolina at 7:07,,TA&M,USC
,Taylor Bertolet kickoff for 65 yds for a touchback,24,14
1st and 10 at SC 25,"SOUTH CAROLINA Penalty, False Start (Corey Robinson) to the SCaro 20",,
