"Game Code","Drive Number","Team Code","Start Period","Start Clock","Start Spot","Start Reason","End Period","End Clock","End Spot","End Reason","Plays","Yards","Time Of Possession","Red Zone Attempt"
0299004720130829,1,299,1,900,75,"KICKOFF",1,597,0,"TOUCHDOWN",10,75,303,1
0299004720130829,2,47,1,592,79,"KICKOFF",1,370,0,"TOUCHDOWN",10,79,222,1
0299004720130829,3,299,1,370,75,"KICKOFF",1,230,0,"TOUCHDOWN",6,75,140,0
0299004720130829,4,47,1,215,10,"KICKOFF",1,134,5,"FIELD GOAL",4,5,81,1
0299004720130829,5,299,1,129,84,"KICKOFF",1,74,82,"PUNT",3,2,55,0
0299004720130829,6,47,1,74,64,"PUNT",2,854,49,"PUNT",4,15,120,0
0299004720130829,7,299,2,854,81,"PUNT",2,761,74,"PUNT",3,7,93,0
0299004720130829,8,47,2,761,52,"PUNT",2,621,30,"MISSED FIELD GOAL",7,22,140,0
0299004720130829,9,299,2,621,69,"MISSED FIELD GOAL",2,384,46,"PUNT",8,23,237,0
0299004720130829,10,47,2,384,88,"PUNT",2,331,83,"PUNT",3,5,53,0
0299004720130829,11,299,2,331,68,"PUNT",2,185,0,"TOUCHDOWN",5,68,146,1
0299004720130829,12,47,2,181,73,"KICKOFF",2,4,0,"TOUCHDOWN",13,73,177,1
0299004720130829,13,47,3,893,55,"KICKOFF",3,747,0,"TOUCHDOWN",5,55,146,1
0299004720130829,14,299,3,747,65,"KICKOFF",3,510,51,"PUNT",6,14,237,0
0299004720130829,15,47,3,510,84,"PUNT",3,433,76,"PUNT",3,8,77,0
0299004720130829,16,299,3,433,83,"PUNT",3,275,84,"PUNT",3,-1,158,0
0299004720130829,17,47,3,275,43,"PUNT",3,227,0,"TOUCHDOWN",3,43,48,0
0299004720130829,18,299,3,227,75,"KICKOFF",3,177,78,"INTERCEPTION",2,-3,50,0
0299004720130829,19,47,3,177,7,"INTERCEPTION",3,101,0,"TOUCHDOWN",6,7,76,1
0299004720130829,20,299,3,96,71,"KICKOFF",4,806,44,"PUNT",9,27,190,0
0299004720130829,21,47,4,806,80,"PUNT",4,488,0,"TOUCHDOWN",12,80,318,1
0299004720130829,22,47,4,478,22,"FUMBLE",4,357,0,"TOUCHDOWN",5,22,121,1
0299004720130829,23,299,4,352,69,"KICKOFF",4,25,0,"TOUCHDOWN",11,69,327,1
0299004720130829,24,47,4,18,64,"KICKOFF",4,0,65,"END OF HALF",1,-1,18,0
0719007120130829,1,719,1,900,77,"KICKOFF",1,833,72,"PUNT",3,5,67,0
0719007120130829,2,71,1,833,68,"PUNT",1,631,41,"PUNT",7,27,202,0
0719007120130829,3,719,1,631,80,"PUNT",1,549,77,"PUNT",4,3,82,0
0719007120130829,4,71,1,549,56,"PUNT",1,458,52,"PUNT",3,4,91,0
0719007120130829,5,719,1,458,84,"PUNT",1,406,83,"PUNT",3,1,52,0
0719007120130829,6,71,1,406,56,"PUNT",1,209,15,"FIELD GOAL",10,41,197,1
0719007120130829,7,719,1,209,75,"KICKOFF",1,70,20,"MISSED FIELD GOAL",10,55,139,1
0719007120130829,8,71,1,70,80,"MISSED FIELD GOAL",2,785,53,"PUNT",6,27,185,0
0719007120130829,9,719,2,785,91,"PUNT",2,627,68,"PUNT",5,23,158,0
0719007120130829,10,71,2,627,75,"PUNT",2,559,50,"INTERCEPTION",3,25,68,0
0719007120130829,11,719,2,559,46,"INTERCEPTION",2,496,2,"FUMBLE",7,44,63,1
0719007120130829,12,71,2,496,98,"FUMBLE",2,369,90,"PUNT",3,8,127,0
0719007120130829,13,719,2,369,33,"PUNT",2,225,17,"MISSED FIELD GOAL",6,16,144,1
0719007120130829,14,71,2,225,80,"MISSED FIELD GOAL",2,2,10,"FIELD GOAL",16,70,223,1
0719007120130829,15,71,3,900,75,"KICKOFF",3,729,0,"TOUCHDOWN",6,75,171,1
0719007120130829,16,719,3,723,77,"KICKOFF",3,554,40,"PUNT",8,37,169,0
0719007120130829,17,71,3,554,86,"PUNT",3,424,77,"PUNT",3,9,130,0
0719007120130829,18,719,3,424,66,"PUNT",3,364,62,"PUNT",3,4,60,0
0719007120130829,19,71,3,364,73,"PUNT",3,121,44,"PUNT",8,29,243,0
0719007120130829,20,719,3,121,93,"PUNT",3,4,84,"DOWNS",4,9,117,0
0719007120130829,21,71,3,4,16,"DOWNS",4,832,0,"TOUCHDOWN",4,16,72,1
0719007120130829,22,719,4,825,68,"KICKOFF",4,716,44,"DOWNS",7,24,109,0
0719007120130829,23,71,4,716,56,"DOWNS",4,501,44,"PUNT",5,12,215,0
0719007120130829,24,71,4,501,8,"FUMBLE",4,454,0,"TOUCHDOWN",2,8,47,1
0719007120130829,25,719,4,449,77,"KICKOFF",4,408,75,"PUNT",3,2,41,0
0719007120130829,26,719,4,401,50,"KICKOFF",4,356,0,"TOUCHDOWN",5,50,45,0
0719007120130829,27,71,4,349,71,"KICKOFF",4,0,46,"END OF HALF",8,25,349,0
0587009620130829,1,96,1,900,74,"KICKOFF",1,726,0,"TOUCHDOWN",10,74,174,1
0587009620130829,2,96,1,708,85,"KICKOFF",1,637,77,"PUNT",3,8,71,0
0587009620130829,3,587,1,637,65,"PUNT",1,451,31,"FIELD GOAL",8,34,186,0
0587009620130829,4,96,1,445,80,"KICKOFF",1,368,71,"PUNT",3,9,77,0
0587009620130829,5,587,1,368,72,"PUNT",1,221,44,"PUNT",6,28,147,0
