"Game Code","Attendance","Duration"
0005012820130829,35115,169
0102063020130829,13136,167
0299004720130829,16327,196
0305030620130829,40278,229
0314071820130829,20992,186
0355033120130829,20790,185
0433073620130829,40350,219
0457064820130829,81572,191
0465042820130829,44217,200
0587009620130829,33098,266
0657027720130829,39058,223
0667064620130829,15240,192
0711016420130829,30689,185
0719007120130829,18142,204
0731073220130829,45237,211
0769041920130829,20011,178
1320074920130829,26202,183
0229041520130830,50151,203
0446072520130830,24245,184
0493032720130830,53351,200
0501002920130830,53793,171
0625025420130830,17606,198
0665028820130830,26205,218
0700066320130830,34790,232
0774041620130830,71214,275
0008074220130831,73114,193
0009071620130831,21398,216
0043069420130831,97169,173
0066075620130831,71963,180
0077074620130831,53310,194
0086051820130831,103980,198
0129041820130831,112618,190
0153072120130831,32095,173
0201062620130831,42978,216
0207052820130831,41649,212
0231039220130831,36321,190
0257014720130831,83830,210
0290020420130831,7668,183
0295049720130831,21975,188
0334077220130831,47623,213
0365069820130831,80230,212
0366049020130831,54204,195
0400079620130831,76306,180
0402065120130831,35470,195
0414038820130831,27148,210
0430052120130831,35874,200
0454043420130831,58038,187
0466011020130831,60562,201
0472070320130831,99623,197
0483052920130831,57769,219
0489019320130831,22521,191
0498052220130831,84911,203
0503031220130831,67402,217
0504031120130831,56800,191
0509010720130831,58816,230
0523019620130831,44597,193
0539068820130831,61202,214
0559014020130831,36007,189
0574069720130831,86686,212
0659030120130831,42175,212
0670066420130831,25729,191
0671003120130831,69801,186
0690051320130831,80795,190
0706047320130831,26311,177
0709023520130831,83604,191
0739006720130831,30922,180
0754003720130831,85095,220
0786076820130831,56350,192
0811046320130831,91185,213
1068025520130831,45759,179
2678003020130831,30451,193
2915005120130831,44989,203
0157015620130901,59601,217
0519036720130901,55332,189
0234054520130902,65500,183
0102002820130905,55743,189
0229019620130905,37533,197
0128023120130906,15823,187
0749006720130906,32465,189
0009036520130907,90037,196
0017043020130907,55085,180
0029046520130907,26950,210
0030003720130907,83246,195
0043073620130907,33162,180
0071033120130907,22758,190
0086005120130907,39126,215
0090009620130907,33260,198
0108046620130907,27052,168
0140030120130907,43031,214
0156071920130907,22875,220
0193040420130907,44237,180
0202036720130907,53647,170
0204053920130907,92863,182
0235041520130907,76968,206
0261049820130907,23600,193
0277052820130907,38179,215
0288069020130907,27328,214
0295081120130907,22030,230
0305055920130907,50165,184
0317000520130907,9653,220
0346036620130907,16372,188
0380040020130907,15624,195
0414033420130907,54846,199
0419045720130907,48000,213
0428047220130907,16418,190
0440066320130907,10107,200
0469012920130907,18210,174
0473070420130907,34907,199
0483077420130907,24163,218
0485058720130907,49111,201
0497051920130907,24511,190
0513041820130907,115109,210
0521070620130907,40977,220
0523039220130907,38377,188
0529074620130907,58502,191
0550010720130907,43594,220
0553067020130907,20136,178
0575049020130907,50554,220
0624069720130907,86800,204
0625003120130907,47358,179
0626051820130907,104984,191
0630067420130907,50424,180
0632071620130907,20021,180
0646071820130907,19414,210
0647014720130907,81428,193
0648025720130907,92746,198
0650032820130907,41920,191
0651041620130907,70401,205
0654043320130907,60815,174
0655069820130907,41170,199
0664046320130907,90466,192
0669031220130907,64201,180
0671032720130907,53073,207
0676070020130907,54086,228
0688050920130907,38033,205
0692079620130907,77785,194
0693025420130907,14952,173
0695006620130907,33293,197
0703007720130907,63197,207
0709043420130907,56785,203
0725004720130907,15106,191
0726030620130907,47013,203
0731072120130907,32716,206
0754065720130907,77823,186
0758073220130907,45053,186
0768052220130907,84692,219
0769074220130907,61335,181
0772069420130907,86783,193
1004015720130907,35168,205
1092038820130907,26317,167
0698070020130912,58702,219
0716003020130912,26012,239
0718036620130912,22035,220
0721006620130913,36069,178
0005041820130914,107120,199
0008069720130914,87596,215
0047049720130914,14747,234
0061023120130914,14957,164
0067065720130914,62006,169
0071030620130914,41869,210
0090015620130914,14146,181
0110046320130914,91471,201
0128053920130914,92855,184
0129046520130914,10981,182
0180072620130914,36208,196
0204058720130914,47604,170
0207070920130914,20459,146
0229065120130914,33792,189
0236069020130914,20047,201
0254076820130914,57440,193
0255019320130914,21267,190
0312031120130914,56800,194
0328057420130914,22974,207
0331036520130914,89113,189
0346052120130914,59061,188
0367033420130914,65445,190
0388051920130914,24836,215
0392016420130914,38916,196
0400032720130914,52958,181
0404041920130914,23992,191
0430003720130914,85817,194
0433070320130914,101474,206
0466023420130914,73847,200
0473054520130914,40249,191
0483067120130914,28871,204
0498074920130914,26505,204
0502081120130914,19091,244
0503029520130914,14071,193
0508014020130914,30384,179
0513055920130914,61127,198
0518010720130914,62467,212
0528073220130914,45221,223
0664003120130914,63067,190
0667075420130914,31127,191
0674072520130914,39644,191
0683008620130914,24013,249
0694052920130914,57895,194
0704047220130914,18366,196
0706002920130914,41661,180
0719052220130914,84229,193
0736064820130914,81371,218
0742019620130914,50096,201
0748068820130914,33299,184
0756030120130914,47312,193
0758073120130914,25513,185
0771042820130914,42127,179
0772064620130914,17721,207
0774050920130914,33128,199
