"Game Code","Date","Visit Team Code","Home Team Code","Stadium Code","Site"
0005012820130829,08/29/2013,5,128,146,TEAM
0102063020130829,08/29/2013,102,630,18,TEAM
0299004720130829,08/29/2013,299,47,48,TEAM
0305030620130829,08/29/2013,305,306,47,TEAM
0314071820130829,08/29/2013,314,718,58,TEAM
0355033120130829,08/29/2013,355,331,100,TEAM
0433073620130829,08/29/2013,433,736,117,TEAM
0457064820130829,08/29/2013,457,648,113,TEAM
0465042820130829,08/29/2013,465,428,153,TEAM
0587009620130829,08/29/2013,587,96,13,TEAM
0657027720130829,08/29/2013,657,277,39,TEAM
0667064620130829,08/29/2013,667,646,3,TEAM
0711016420130829,08/29/2013,711,164,25,TEAM
0719007120130829,08/29/2013,719,71,96,TEAM
0731073220130829,08/29/2013,731,732,135,TEAM
0769041920130829,08/29/2013,769,419,116,TEAM
1320074920130829,08/29/2013,1320,749,83,TEAM
0229041520130830,08/30/2013,229,415,30,TEAM
0446072520130830,08/30/2013,446,725,93,TEAM
0493032720130830,08/30/2013,493,327,52,TEAM
0501002920130830,08/30/2013,501,29,11,TEAM
0625025420130830,08/30/2013,625,254,38,TEAM
0665028820130830,08/30/2013,665,288,128,TEAM
0700066320130830,08/30/2013,700,663,122,TEAM
0774041620130830,08/30/2013,774,416,68,TEAM
0008074220130831,08/31/2013,8,742,38,NEUTRAL
0009071620130831,08/31/2013,9,716,4,TEAM
0043069420130831,08/31/2013,43,694,114,TEAM
0066075620130831,08/31/2013,66,756,140,TEAM
0077074620130831,08/31/2013,77,746,137,TEAM
0086051820130831,08/31/2013,86,518,99,TEAM
0129041820130831,08/31/2013,129,418,66,TEAM
0153072120130831,08/31/2013,153,721,21,TEAM
0201062620130831,08/31/2013,201,626,16,TEAM
0207052820130831,08/31/2013,207,528,107,TEAM
0231039220130831,08/31/2013,231,392,64,TEAM
0257014720130831,08/31/2013,257,147,112,TEAM
0290020420130831,08/31/2013,290,204,71,TEAM
0295049720130831,08/31/2013,295,497,160,TEAM
0334077220130831,08/31/2013,334,772,118,NEUTRAL
0365069820130831,08/31/2013,365,698,155,NEUTRAL
0366049020130831,08/31/2013,366,490,82,TEAM
0400079620130831,08/31/2013,400,796,141,TEAM
0402065120130831,08/31/2013,402,651,35,TEAM
0414038820130831,08/31/2013,414,388,142,TEAM
0430052120130831,08/31/2013,430,521,128,NEUTRAL
0454043420130831,08/31/2013,454,434,73,TEAM
0466011020130831,08/31/2013,466,110,15,TEAM
0472070320130831,08/31/2013,472,703,119,TEAM
0483052920130831,08/31/2013,483,529,108,TEAM
0489019320130831,08/31/2013,489,193,80,TEAM
0498052220130831,08/31/2013,498,522,103,TEAM
0503031220130831,08/31/2013,503,312,41,TEAM
0504031120130831,08/31/2013,504,311,40,TEAM
0509010720130831,08/31/2013,509,107,12,TEAM
0523019620130831,08/31/2013,523,196,81,TEAM
0539068820130831,08/31/2013,539,688,157,NEUTRAL
0559014020130831,08/31/2013,559,140,97,TEAM
0574069720130831,08/31/2013,574,697,120,TEAM
0659030120130831,08/31/2013,659,301,44,TEAM
0670066420130831,08/31/2013,670,664,75,TEAM
0671003120130831,08/31/2013,671,31,6,TEAM
0690051320130831,08/31/2013,690,513,49,TEAM
0706047320130831,08/31/2013,706,473,87,TEAM
0709023520130831,08/31/2013,709,235,27,TEAM
0739006720130831,08/31/2013,739,67,61,TEAM
0754003720130831,08/31/2013,754,37,1,TEAM
0786076820130831,08/31/2013,786,768,143,TEAM
0811046320130831,08/31/2013,811,463,84,TEAM
1068025520130831,08/31/2013,1068,255,37,TEAM
2678003020130831,08/31/2013,2678,30,7,TEAM
2915005120130831,08/31/2013,2915,51,132,TEAM
0157015620130901,09/01/2013,157,156,22,NEUTRAL
0519036720130901,09/01/2013,519,367,54,TEAM
0234054520130902,09/02/2013,234,545,110,TEAM
0102002820130905,09/05/2013,102,28,10,TEAM
0229019620130905,09/05/2013,229,196,81,TEAM
0128023120130906,09/06/2013,128,231,31,TEAM
0749006720130906,09/06/2013,749,67,61,TEAM
0009036520130907,09/07/2013,9,365,55,TEAM
0017043020130907,09/07/2013,17,430,77,TEAM
0029046520130907,09/07/2013,29,465,89,TEAM
0030003720130907,09/07/2013,30,37,1,TEAM
