"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0299004720130829,13,47,1023171,1,21,0,0,0,0,0
0299004720130829,33,47,1023171,1,90,0,0,0,0,0
0299004720130829,38,299,1052440,1,16,0,0,0,0,0
0299004720130829,82,47,1023172,1,5,0,0,0,0,0
0299004720130829,100,299,1052494,1,5,0,0,0,0,0
0299004720130829,101,47,1023171,1,33,0,0,0,0,0
0299004720130829,141,299,1052442,1,23,0,0,0,0,0
0299004720130829,166,299,1052442,1,19,0,1,1,0,0
0299004720130829,176,299,1052880,1,16,0,0,0,0,0
0299004720130829,189,47,1046436,1,11,0,0,0,0,0
0719007120130829,1,719,1026585,1,22,0,0,0,0,0
0719007120130829,103,719,1042001,1,2,0,0,0,0,0
0719007120130829,113,719,1049911,1,23,0,0,0,0,0
0719007120130829,150,719,1026585,1,25,0,0,0,0,0
0719007120130829,168,719,1026585,1,19,0,0,0,0,0
0719007120130829,175,719,1057892,1,29,0,0,0,0,0
0719007120130829,182,71,1054529,1,29,0,0,0,0,0
0587009620130829,1,96,1038903,1,24,0,0,0,0,0
0587009620130829,13,587,1057069,1,100,1,0,0,0,0
0587009620130829,15,96,1038903,1,15,0,0,0,0,0
0587009620130829,30,96,1038903,1,23,0,0,0,0,0
0587009620130829,71,96,1038903,1,28,0,0,0,0,0
0587009620130829,88,587,1033688,0,0,0,0,0,0,1
0587009620130829,113,587,1033688,0,0,0,0,0,0,1
0587009620130829,140,587,1033688,0,0,0,0,0,0,1
0587009620130829,163,96,1038903,1,17,0,0,0,0,0
0587009620130829,181,587,1033688,0,0,0,0,0,0,1
0587009620130829,200,96,1038903,1,18,0,0,0,0,0
0587009620130829,209,587,1057069,1,13,0,0,0,0,0
0587009620130829,217,96,1038903,1,56,0,0,0,0,0
0005012820130829,1,128,1039018,1,17,0,0,0,0,0
0005012820130829,5,5,1054120,1,18,0,0,0,0,0
0005012820130829,32,5,1054120,1,20,0,0,0,0,0
0005012820130829,84,5,1046123,1,25,0,0,0,0,0
0005012820130829,99,5,1031273,1,15,0,0,0,0,0
0005012820130829,158,128,1039018,1,15,0,0,0,0,0
0711016420130829,1,164,1039199,1,20,0,0,0,0,0
0711016420130829,28,711,1045900,1,30,0,0,0,0,0
0711016420130829,34,164,1039199,1,15,0,0,0,0,0
0711016420130829,60,164,1031224,1,20,0,0,0,0,0
0711016420130829,75,711,1045900,1,22,0,0,0,0,0
0711016420130829,111,164,1031224,1,13,0,0,0,0,0
0711016420130829,147,164,1039199,1,26,0,0,0,0,0
0711016420130829,156,711,1045900,1,12,0,0,0,0,0
0711016420130829,172,164,1031224,1,16,0,0,0,0,0
0657027720130829,1,277,1039547,1,17,0,0,0,0,0
0657027720130829,25,277,1039547,1,20,0,0,0,0,0
0657027720130829,48,277,1039547,1,35,0,0,0,0,0
0657027720130829,57,657,1041441,1,22,0,0,0,0,0
0657027720130829,80,277,1039547,1,14,0,0,0,0,0
0657027720130829,88,277,1039547,1,20,0,0,0,0,0
0657027720130829,153,277,1039547,1,15,0,0,0,0,0
0657027720130829,194,277,1055308,1,10,0,0,0,0,0
0305030620130829,25,306,1047445,1,28,0,0,0,0,0
0305030620130829,51,305,1037179,1,9,0,0,0,0,0
0305030620130829,60,305,1027646,1,24,0,0,0,0,0
0305030620130829,119,306,1055465,1,-12,0,1,1,0,0
0305030620130829,123,306,1047445,1,15,0,0,0,0,0
0305030620130829,137,305,1027646,1,23,0,0,0,0,0
0305030620130829,173,305,1027646,1,16,0,0,0,0,0
0305030620130829,195,305,1037174,1,21,0,0,0,0,0
0355033120130829,18,355,1051413,1,24,0,0,0,0,0
0355033120130829,63,331,1047625,1,24,0,0,0,0,0
0355033120130829,142,355,1027788,1,14,0,0,0,0,0
0769041920130829,4,769,1059403,1,20,0,0,0,0,0
0769041920130829,35,769,1059403,1,18,0,0,0,0,0
0769041920130829,47,769,1059428,1,20,0,0,0,0,0
0769041920130829,62,769,1059428,1,22,0,0,0,0,0
0769041920130829,75,419,1024829,1,34,0,0,0,0,0
0769041920130829,96,419,1040344,1,12,0,1,1,0,0
0769041920130829,99,419,1024829,1,22,0,0,0,0,0
0769041920130829,106,769,1059428,1,16,0,0,0,0,0
0769041920130829,173,769,1052808,1,10,0,0,0,0,0
0769041920130829,189,419,1024833,1,25,0,0,0,0,0
0465042820130829,16,428,1040354,1,27,0,0,0,0,0
0465042820130829,48,465,1033286,1,29,0,0,0,0,0
0465042820130829,98,465,1033286,1,22,0,0,0,0,0
0465042820130829,100,428,1040354,1,98,1,0,0,0,0
0465042820130829,102,465,1056363,1,25,0,0,0,0,0
0465042820130829,119,465,1033286,1,20,0,0,0,0,0
0465042820130829,131,428,1048169,1,14,0,0,0,0,0
0465042820130829,157,465,1033286,1,17,0,0,0,0,0
0465042820130829,178,428,1040354,1,9,0,0,0,0,0
0465042820130829,187,465,1033286,1,15,0,0,0,0,0
0102063020130829,20,102,1050560,1,15,0,0,0,0,0
0102063020130829,53,102,1050560,1,23,0,0,0,0,0
0667064620130829,24,646,1045127,1,43,0,0,0,0,0
0667064620130829,73,667,1050748,1,23,0,0,0,0,0
0667064620130829,85,667,1050748,1,16,0,0,0,0,0
0667064620130829,96,646,1057163,1,18,0,0,0,0,0
0667064620130829,109,667,1050744,0,0,0,0,0,0,1
0667064620130829,131,667,1045621,1,11,0,0,0,0,0
0457064820130829,1,648,1033781,1,18,0,0,0,0,0
0457064820130829,28,457,1032952,1,20,0,0,0,0,0
0457064820130829,41,457,1032952,1,24,0,0,0,0,0
0457064820130829,62,648,1033781,1,21,0,0,0,0,0
0457064820130829,95,457,1032952,1,28,0,0,0,0,0
0457064820130829,117,457,1032952,1,16,0,0,0,0,0
0314071820130829,40,314,1058810,1,12,0,0,0,0,0
0314071820130829,91,718,1049878,1,30,0,0,0,0,0
0314071820130829,150,314,1058810,1,10,0,0,0,0,0
0314071820130829,165,718,1041974,1,17,0,0,0,0,0
0731073220130829,1,732,1034681,1,18,0,0,0,0,0
0731073220130829,24,732,1050114,1,8,0,0,0,0,0
0731073220130829,123,732,1050114,1,30,0,0,0,0,0
0731073220130829,203,731,1058057,1,27,0,0,0,0,0
0433073620130829,1,736,1034728,1,11,0,0,0,0,0
0433073620130829,59,433,1048233,1,14,0,0,0,0,0
0433073620130829,147,736,1050149,1,12,0,1,0,0,0
