"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Fair Catch","Touchback","Downed","Out Of Bounds","Onside","Onside Success"
0299004720130829,1,47,1031113,1,65,0,1,0,0,0,0
0299004720130829,13,299,1052505,1,65,0,0,0,0,0,0
0299004720130829,25,47,1031113,1,65,0,1,0,0,0,0
0299004720130829,33,299,1052505,1,65,0,0,0,0,0,0
0299004720130829,38,47,1031113,1,65,0,0,0,0,0,0
0299004720130829,82,299,1052505,1,43,0,0,0,0,0,0
0299004720130829,100,47,1031113,1,35,0,0,0,0,0,0
0299004720130829,101,299,1052505,1,53,0,0,0,0,0,0
0299004720130829,109,47,1046408,1,62,0,0,0,1,0,0
0299004720130829,131,47,1031113,1,65,0,1,0,0,0,0
0299004720130829,141,47,1031113,1,59,0,0,0,0,0,0
0299004720130829,166,47,1046408,1,62,0,0,0,0,0,0
0299004720130829,176,47,1031113,1,50,0,0,0,0,0,0
0299004720130829,189,299,1052505,1,40,0,0,0,0,0,0
0719007120130829,1,71,1046562,1,64,0,0,0,0,0,0
0719007120130829,39,71,1046562,1,65,0,1,0,0,0,0
0719007120130829,103,71,1046562,1,37,0,0,0,0,0,0
0719007120130829,104,719,1042002,1,65,0,1,0,0,0,0
0719007120130829,113,71,1046562,1,65,0,0,0,0,0,0
0719007120130829,150,71,1046562,1,58,0,0,0,0,0,0
0719007120130829,168,71,1046562,1,61,0,0,0,0,0,0
0719007120130829,175,71,1046562,1,59,0,0,0,0,0,0
0719007120130829,182,719,1042002,1,65,0,0,0,0,0,0
0587009620130829,1,587,1026796,1,63,0,0,0,0,0,0
0587009620130829,13,96,1054611,1,65,0,0,0,0,0,0
0587009620130829,15,587,1026796,1,65,0,0,0,0,0,0
0587009620130829,30,587,1026796,1,68,0,0,0,0,0,0
0587009620130829,57,587,1026796,1,71,0,1,0,0,0,0
0587009620130829,71,587,1026796,1,70,0,0,0,0,0,0
0587009620130829,88,96,1054611,1,37,1,0,0,0,0,0
0587009620130829,112,96,1054611,1,26,0,0,1,0,0,0
0587009620130829,113,96,1054611,1,35,1,0,0,0,0,0
0587009620130829,128,587,1026796,1,74,0,1,0,0,0,0
0587009620130829,140,96,1054611,1,34,1,0,0,0,0,0
0587009620130829,163,587,1026796,1,60,0,0,0,0,0,0
0587009620130829,181,96,1054611,1,42,1,0,0,0,0,0
0587009620130829,200,587,1026796,1,61,0,0,0,0,0,0
0587009620130829,209,96,1054611,1,43,0,0,0,0,0,0
0587009620130829,217,587,1026796,1,61,0,0,0,0,0,0
0587009620130829,225,96,1054611,1,70,0,1,0,0,0,0
0005012820130829,1,5,1038375,1,65,0,0,0,0,0,0
0005012820130829,5,128,1039022,1,63,0,0,0,0,0,0
0005012820130829,32,128,1039022,1,60,0,0,0,0,0,0
0005012820130829,60,128,1039022,1,65,0,1,0,0,0,0
