"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Touchdown","Fumble","Fumble Lost","Safety","Fair Catch"
0299004720130829,42,47,1023171,0,0,0,0,0,0,1
0299004720130829,70,47,1023171,0,0,0,0,0,0,1
0299004720130829,116,47,1023171,1,0,0,0,0,0,0
0719007120130829,5,71,1038805,0,0,0,0,0,0,1
0719007120130829,19,71,1038805,0,0,0,0,0,0,1
0719007120130829,23,719,1026585,1,3,0,0,0,0,0
0719007120130829,27,71,1038805,1,3,0,0,0,0,0
0719007120130829,58,719,1026585,0,0,0,0,0,0,1
0719007120130829,64,71,1038805,0,0,0,0,0,0,1
0719007120130829,80,719,1026585,1,14,0,0,0,0,0
0719007120130829,126,719,1042023,0,0,0,0,0,0,1
0719007120130829,130,71,1038805,1,6,0,0,0,0,0
0719007120130829,164,719,1026585,1,-2,0,1,1,0,0
0719007120130829,172,71,1038805,1,67,1,0,0,0,0
0587009620130829,20,587,1057069,0,0,0,0,0,0,1
0587009620130829,34,587,1057069,0,0,0,0,0,0,1
0587009620130829,41,96,1031365,0,0,0,0,0,0,1
0587009620130829,62,587,1057069,0,0,0,0,0,0,1
0587009620130829,76,587,1057069,1,0,0,1,1,0,0
0587009620130829,117,96,1031365,1,18,0,0,0,0,0
0587009620130829,121,587,1057069,1,-1,0,1,0,0,0
0587009620130829,154,587,1057069,0,0,0,0,0,0,1
0587009620130829,176,96,1031365,1,24,0,0,0,0,0
0587009620130829,186,96,1031365,1,5,0,0,0,0,0
0005012820130829,18,128,1039025,0,0,0,0,0,0,1
0005012820130829,37,128,1039025,0,0,0,0,0,0,1
0005012820130829,41,5,1046121,1,3,0,1,1,0,0
0005012820130829,50,128,1039025,0,0,0,0,0,0,1
0005012820130829,124,128,1039025,1,7,0,0,0,0,0
0005012820130829,140,128,1039017,0,0,0,0,0,0,1
0005012820130829,146,5,1046121,1,8,0,0,0,0,0
0711016420130829,5,711,1045900,0,0,0,0,0,0,1
0711016420130829,38,711,1045900,0,0,0,0,0,0,1
0711016420130829,48,711,1045900,0,0,0,0,0,0,1
0711016420130829,89,164,1054941,0,0,0,0,0,0,1
0711016420130829,116,711,1045900,0,0,0,0,0,0,1
0711016420130829,131,164,1054941,1,4,0,0,0,0,0
0711016420130829,135,711,1045900,0,0,0,0,0,0,1
0711016420130829,163,164,1054941,1,-2,0,1,1,0,0
0657027720130829,93,657,1041441,1,-1,0,1,1,0,0
0657027720130829,112,657,1041441,1,9,0,0,0,0,0
0657027720130829,116,277,1039554,1,0,0,0,0,0,0
0657027720130829,126,277,1039554,1,4,0,0,0,0,0
0657027720130829,160,657,1041441,0,0,0,0,0,0,1
0657027720130829,172,277,1039554,1,7,0,0,0,0,0
0657027720130829,181,657,1041441,0,0,0,0,0,0,1
0305030620130829,36,306,1039697,0,0,0,0,0,0,1
0305030620130829,64,306,1039697,1,58,1,0,0,0,0
0305030620130829,102,306,1039697,0,0,0,0,0,0,1
0305030620130829,110,305,1037190,1,3,0,0,0,0,0
0305030620130829,148,306,1039697,0,0,0,0,0,0,1
0305030620130829,157,306,1047457,1,17,0,0,0,0,0
0305030620130829,164,305,1037190,1,0,0,1,0,0,0
0305030620130829,168,306,1047457,1,8,0,0,0,0,0
0305030620130829,186,306,1047457,1,7,0,0,0,0,0
0355033120130829,22,331,1039902,1,5,0,0,0,0,0
0355033120130829,26,355,1027788,0,0,0,0,0,0,1
0355033120130829,30,331,1039902,1,2,0,1,0,0,0
0355033120130829,45,331,1032331,1,0,0,0,0,0,0
0355033120130829,69,355,1027788,0,0,0,0,0,0,1
0355033120130829,76,331,1032331,1,-3,0,1,0,0,0
0355033120130829,84,355,1027788,0,0,0,0,0,0,1
0355033120130829,130,331,1032331,0,0,0,0,0,0,1
0769041920130829,45,419,1023730,1,57,1,0,0,0,0
0769041920130829,69,419,1023730,0,0,0,0,0,0,1
0769041920130829,79,769,1059401,1,7,0,0,0,0,0
0769041920130829,114,419,1023730,1,0,0,0,0,0,0
0769041920130829,124,419,1023730,1,-4,0,0,0,0,0
0769041920130829,157,769,1059401,1,0,0,0,0,0,0
0769041920130829,164,419,1023730,0,0,0,0,0,0,1
0465042820130829,79,465,1056362,0,0,0,0,0,0,1
0465042820130829,85,428,1040354,1,15,0,0,0,0,0
0465042820130829,112,465,1056362,1,5,0,0,0,0,0
0102063020130829,28,102,1050560,0,0,0,0,0,0,1
0102063020130829,34,630,1025903,0,0,0,0,0,0,1
0102063020130829,59,630,1025903,1,-6,0,0,0,0,0
0102063020130829,136,102,1050560,1,10,0,0,0,0,0
0102063020130829,178,630,1025903,1,22,0,0,0,0,0
0667064620130829,9,667,1050748,0,0,0,0,0,0,1
0667064620130829,46,667,1050748,0,0,0,0,0,0,1
0667064620130829,65,646,1045127,0,0,0,0,0,0,1
0667064620130829,117,667,1050748,0,0,0,0,0,0,1
0667064620130829,137,646,1045127,1,4,0,0,0,0,0
0667064620130829,144,667,1050748,0,0,0,0,0,0,1
0667064620130829,148,646,1045127,1,-1,0,0,0,0,0
0667064620130829,163,667,1050748,1,4,0,0,0,0,0
0457064820130829,32,648,1033781,1,13,0,0,0,0,0
0457064820130829,67,457,1040504,1,1,0,1,1,0,0
0457064820130829,77,648,1033781,1,0,0,0,0,0,0
0457064820130829,125,648,1033781,0,0,0,0,0,0,1
0457064820130829,153,457,1040504,1,20,0,0,0,0,0
0457064820130829,158,648,1033781,1,9,0,0,0,0,0
0314071820130829,24,718,1049879,1,8,0,0,0,0,0
0314071820130829,95,314,1058826,0,0,0,0,0,0,1
0314071820130829,106,718,1041974,1,2,0,0,0,0,0
0314071820130829,110,314,1051213,1,3,0,0,0,0,0
0314071820130829,129,718,1041974,0,0,0,0,0,0,1
0314071820130829,136,314,1058826,1,-2,0,0,0,0,0
0314071820130829,140,718,1041974,0,0,0,0,0,0,1
0314071820130829,170,314,1058806,1,7,0,0,0,0,0
0731073220130829,68,732,1050114,0,0,0,0,0,0,1
0731073220130829,72,731,1026777,0,0,0,0,0,0,1
0731073220130829,86,731,1050073,1,2,0,0,0,0,0
0731073220130829,132,731,1050073,0,0,0,0,0,0,1
0731073220130829,136,732,1050114,0,0,0,0,0,0,1
0731073220130829,143,732,1050114,1,0,0,0,0,0,0
0731073220130829,187,732,1050114,0,0,0,0,0,0,1
0433073620130829,34,433,1032875,1,11,0,0,0,0,0
0433073620130829,38,736,1034727,1,2,0,0,0,0,0
1320074920130829,5,1320,1045369,0,0,0,0,0,0,1
1320074920130829,61,749,1034851,1,10,0,0,0,0,0
1320074920130829,88,749,1034851,1,11,0,0,0,0,0
1320074920130829,100,749,1034851,0,0,0,0,0,0,1
1320074920130829,144,749,1034851,1,-10,0,0,0,0,0
0501002920130830,38,29,1054274,0,0,0,0,0,0,1
0501002920130830,48,29,1054274,1,10,0,1,0,0,0
0501002920130830,53,501,1059076,0,0,0,0,0,0,1
0501002920130830,60,29,1054274,1,0,0,0,0,0,0
0501002920130830,83,29,1054274,1,1,0,1,0,0,0
0501002920130830,92,29,1038522,1,8,0,0,0,0,0
0625025420130830,15,254,1038251,1,4,0,0,0,0,0
0625025420130830,42,254,1038251,0,0,0,0,0,0,1
0625025420130830,85,625,1035940,0,0,0,0,0,0,1
0625025420130830,89,254,1038251,0,0,0,0,0,0,1
0625025420130830,108,254,1038251,0,0,0,0,0,0,1
0625025420130830,115,625,1035940,1,46,0,0,0,0,0
0625025420130830,119,254,1038251,0,0,0,0,0,0,1
0625025420130830,128,625,1035940,1,7,0,0,0,0,0
0625025420130830,157,625,1035940,0,0,0,0,0,0,1
0665028820130830,22,288,1047338,0,0,0,0,0,0,1
0665028820130830,86,288,1047338,1,3,0,0,0,0,0
0665028820130830,91,665,1051783,1,-5,0,1,1,0,0
0665028820130830,127,665,1051803,0,0,0,0,0,0,1
0665028820130830,145,288,1047338,0,0,0,0,0,0,1
0665028820130830,153,665,1051803,1,-4,0,0,0,0,0
0665028820130830,157,288,1047338,1,-1,0,0,0,0,0
0665028820130830,184,288,1034695,0,0,0,0,0,0,1
0493032720130830,14,493,1035690,0,0,0,0,0,0,1
0493032720130830,27,493,1035690,1,49,0,0,0,0,0
0493032720130830,47,327,1024349,0,0,0,0,0,0,1
0493032720130830,79,493,1035690,0,0,0,0,0,0,1
0229041520130830,5,415,1040249,1,7,0,0,0,0,0
0229041520130830,19,415,1040225,1,2,0,0,0,0,0
0229041520130830,35,415,1040249,1,2,0,0,0,0,0
0229041520130830,82,415,1040225,1,21,0,0,0,0,0
0229041520130830,96,415,1040249,0,0,0,0,0,0,1
0229041520130830,125,415,1040249,1,8,0,0,0,0,0
0229041520130830,137,415,1040225,1,4,0,0,0,0,0
0229041520130830,143,229,1047064,1,6,0,0,0,0,0
0229041520130830,154,415,1056031,1,7,0,0,0,0,0
0229041520130830,158,229,1047064,0,0,0,0,0,0,1
0774041620130830,9,774,1034999,0,0,0,0,0,0,1
0774041620130830,13,416,1040261,1,21,0,0,0,0,0
0774041620130830,17,774,1034999,0,0,0,0,0,0,1
0774041620130830,90,416,1040261,1,-1,0,0,0,0,0
0774041620130830,111,416,1040261,1,-2,0,0,0,0,0
0774041620130830,116,774,1034999,1,0,0,0,0,0,0
0774041620130830,123,416,1040261,1,33,0,0,0,0,0
0774041620130830,160,416,1040261,1,1,0,0,0,0,0
0774041620130830,164,774,1034999,0,0,0,0,0,0,1
0774041620130830,196,774,1034999,1,4,0,0,0,0,0
0700066320130830,39,663,1057302,1,5,0,0,0,0,0
0700066320130830,44,700,1049622,0,0,0,0,0,0,1
0700066320130830,62,700,1057644,1,15,0,0,0,0,0
0700066320130830,74,663,1057302,1,9,0,0,0,0,0
0700066320130830,93,700,1057644,0,0,0,0,0,0,1
0700066320130830,153,663,1049271,1,1,0,0,0,0,0
0700066320130830,157,700,1057644,1,0,0,0,0,0,0
0700066320130830,161,663,1049271,1,-1,0,0,0,0,0
0700066320130830,172,700,1049622,0,0,0,0,0,0,1
0700066320130830,193,700,1049622,1,17,0,0,0,0,0
0446072520130830,107,446,1044558,0,0,0,0,0,0,1
0446072520130830,119,446,1044558,0,0,0,0,0,0,1
0446072520130830,128,446,1044558,0,0,0,0,0,0,1
2678003020130831,55,30,1031003,1,0,0,1,1,0,0
2678003020130831,102,30,1031003,1,8,0,0,0,0,0
2678003020130831,119,30,1031003,0,0,0,0,0,0,1
2678003020130831,127,30,1031003,0,0,0,0,0,0,1
2678003020130831,148,2678,1059563,0,0,0,0,0,0,1
2678003020130831,170,30,1031003,0,0,0,0,0,0,1
0671003120130831,32,671,1033963,1,-2,0,0,0,0,0
0671003120130831,55,31,1031021,0,0,0,0,0,0,1
0671003120130831,94,31,1031021,0,0,0,0,0,0,1
0671003120130831,133,31,1031021,0,0,0,0,0,0,1
0754003720130831,23,754,1026982,0,0,0,0,0,0,1
0754003720130831,38,754,1026982,0,0,0,0,0,0,1
0754003720130831,54,754,1026982,0,0,0,0,0,0,1
0754003720130831,108,37,1031068,0,0,0,0,0,0,1
0754003720130831,121,37,1031068,1,19,0,0,0,0,0
0754003720130831,162,37,1031068,0,0,0,0,0,0,1
2915005120130831,33,51,1031161,0,0,0,0,0,0,1
2915005120130831,91,51,1031161,1,9,0,0,0,0,0
2915005120130831,103,51,1031161,1,4,0,0,0,0,0
2915005120130831,144,51,1031161,0,0,0,0,0,0,1
2915005120130831,172,51,1038739,1,8,0,0,0,0,0
2915005120130831,181,51,1038739,1,2,0,0,0,0,0
0739006720130831,37,739,1044047,0,0,0,0,0,0,1
0739006720130831,41,67,1038789,1,15,0,0,0,0,0
0739006720130831,45,739,1044045,0,0,0,0,0,0,1
0739006720130831,76,739,1044047,0,0,0,0,0,0,1
0739006720130831,106,739,1044045,0,0,0,0,0,0,1
0739006720130831,110,67,1038789,1,10,0,0,0,0,0
0739006720130831,165,739,1044047,0,0,0,0,0,0,1
0509010720130831,30,107,1046657,1,-2,0,0,0,0,0
0509010720130831,34,509,1033276,0,0,0,0,0,0,1
0509010720130831,96,107,1046657,1,2,0,0,0,0,0
0509010720130831,172,107,1046657,0,0,0,0,0,0,1
0466011020130831,7,110,1025426,0,0,0,0,0,0,1
0466011020130831,49,110,1025426,0,0,0,0,0,0,1
0466011020130831,131,110,1046706,1,14,0,0,0,0,0
0466011020130831,131,110,1031437,0,4,1,0,0,0,0
0466011020130831,189,110,1025426,1,16,0,0,0,0,0
0466011020130831,200,110,1025426,1,36,0,0,0,0,0
0466011020130831,213,110,1046711,1,7,0,0,0,0,0
0559014020130831,47,140,1031517,1,3,0,0,0,0,0
0559014020130831,64,140,1031517,1,-11,0,1,1,0,0
0559014020130831,99,140,1031517,1,6,0,0,0,0,0
0257014720130831,5,257,1039523,1,4,0,0,0,0,0
0257014720130831,10,147,1039103,0,0,0,0,0,0,1
0257014720130831,77,147,1039103,0,0,0,0,0,0,1
0257014720130831,81,257,1024011,0,0,0,0,0,0,1
0257014720130831,96,147,1039103,1,0,0,1,1,0,0
0257014720130831,103,257,1024011,0,0,0,0,0,0,1
0257014720130831,114,147,1039100,0,0,0,0,0,0,1
0257014720130831,157,257,1039523,0,0,0,0,0,0,1
0257014720130831,186,147,66608,1,-5,0,1,0,0,0
0257014720130831,186,147,1031551,0,9,0,0,0,0,0
0257014720130831,195,257,1039523,0,0,0,0,0,0,1
0489019320130831,18,193,1039228,1,25,0,0,0,0,0
0489019320130831,36,193,1039228,1,76,1,0,0,0,0
0489019320130831,42,193,1046983,0,0,0,0,0,0,1
0489019320130831,65,193,1039228,1,1,0,0,0,0,0
0489019320130831,96,193,1039228,1,1,0,0,0,0,0
0489019320130831,104,489,1043588,1,1,0,0,0,0,0
0489019320130831,111,193,1039228,1,10,0,0,0,0,0
0489019320130831,138,193,1046983,1,0,0,0,0,0,0
0489019320130831,152,193,1046983,1,0,0,0,0,0,0
0489019320130831,176,489,1030111,1,3,0,0,0,0,0
0523019620130831,42,196,1031709,1,15,0,0,0,0,0
0523019620130831,47,523,1059176,1,5,0,0,0,0,0
0523019620130831,146,523,1059176,0,0,0,0,0,0,1
0523019620130831,162,196,1031709,1,20,0,0,0,0,0
0290020420130831,42,204,1039296,1,7,0,0,0,0,0
0290020420130831,102,290,1052369,0,0,0,0,0,0,1
0290020420130831,150,204,1039296,1,2,0,0,0,0,0
0709023520130831,23,235,1039456,1,9,0,0,0,0,0
0709023520130831,33,235,1039456,1,10,0,0,0,0,0
0709023520130831,87,709,1034342,0,0,0,0,0,0,1
0709023520130831,109,235,1039456,1,15,0,0,0,0,0
0709023520130831,114,709,1034342,0,0,0,0,0,0,1
0709023520130831,132,235,1039456,1,38,0,0,0,0,0
1068025520130831,13,255,1039469,1,3,0,0,0,0,0
1068025520130831,39,255,1039476,0,0,0,0,0,0,1
1068025520130831,53,255,1039476,1,2,0,0,0,0,0
1068025520130831,88,1068,1044237,1,5,0,0,0,0,0
1068025520130831,125,255,1039476,1,-1,0,0,0,0,0
1068025520130831,160,255,1031942,0,0,0,0,0,0,1
0659030120130831,52,659,1037506,1,6,0,0,0,0,0
0659030120130831,57,301,1032108,1,18,0,0,0,0,0
0659030120130831,72,301,1047394,1,5,0,0,0,0,0
0659030120130831,88,301,1032111,1,-4,0,1,0,0,0
0504031120130831,52,504,1032957,1,12,0,0,0,0,0
0504031120130831,84,311,1032187,0,0,0,0,0,0,1
0504031120130831,131,311,1032187,1,4,0,0,0,0,0
0504031120130831,147,504,1032957,0,0,0,0,0,0,1
0504031120130831,152,311,1032187,0,0,0,0,0,0,1
0503031220130831,13,312,1032238,0,0,0,0,0,0,1
