"Game Code","Play Number","Team Code","Player Code","Attempt","Yards","Blocked","Fair Catch","Touchback","Downed","Out Of Bounds"
0299004720130829,42,299,1058737,1,46,0,1,0,0,0
0299004720130829,48,47,1046408,1,30,0,0,0,0,1
0299004720130829,53,299,1058737,1,26,0,0,0,0,1
0299004720130829,70,299,1058737,1,34,0,1,0,0,0
0299004720130829,74,47,1046408,1,51,0,0,0,1,0
0299004720130829,116,299,1058737,1,35,0,0,0,0,0
0299004720130829,120,47,1046408,1,59,0,0,0,1,0
0299004720130829,126,299,1058737,1,27,0,0,0,0,1
0299004720130829,151,299,1058737,1,44,0,0,1,0,0
0719007120130829,5,719,1042002,1,40,0,1,0,0,0
0719007120130829,14,71,1038834,1,41,0,0,1,0,0
0719007120130829,19,719,1042002,1,33,0,1,0,0,0
0719007120130829,23,71,1038834,1,39,0,0,0,0,0
0719007120130829,27,719,1042002,1,42,0,0,0,0,0
0719007120130829,58,71,1038834,1,44,0,1,0,0,0
0719007120130829,64,719,1042002,1,43,0,1,0,0,0
0719007120130829,80,71,1038834,1,37,0,0,0,0,0
0719007120130829,122,719,1057896,1,26,0,0,0,0,1
0719007120130829,126,71,1038834,1,43,0,1,0,0,0
0719007120130829,130,719,1057896,1,41,0,0,0,0,0
0719007120130829,140,71,1038834,1,37,0,0,0,0,1
0719007120130829,164,71,1038834,1,34,0,0,0,0,0
0719007120130829,172,719,1042002,1,42,0,0,0,0,0
0587009620130829,20,96,1046656,1,42,0,1,0,0,0
0587009620130829,34,96,1046656,1,43,0,1,0,0,0
0587009620130829,41,587,1026796,1,32,0,1,0,0,0
0587009620130829,62,96,1046656,1,38,0,1,0,0,0
0587009620130829,76,96,1046656,1,28,0,0,0,0,0
0587009620130829,94,587,1026796,1,55,0,0,1,0,0
0587009620130829,117,587,1026796,1,49,0,0,0,0,0
0587009620130829,121,96,1046656,1,34,0,0,0,0,0
0587009620130829,150,587,1026796,1,31,0,0,0,0,1
0587009620130829,154,96,1046656,1,46,0,1,0,0,0
0587009620130829,172,96,1023413,1,30,0,0,0,1,0
0587009620130829,176,587,1026796,1,39,0,0,0,0,0
0587009620130829,186,587,1026796,1,40,0,0,0,0,0
0005012820130829,18,5,1038375,1,32,0,1,0,0,0
0005012820130829,37,5,1038375,1,49,0,1,0,0,0
0005012820130829,41,128,1046746,1,38,0,0,0,0,0
0005012820130829,46,128,1046746,1,37,0,0,1,0,0
0005012820130829,50,5,1038375,1,53,0,1,0,0,0
0005012820130829,64,5,1038375,1,65,0,0,0,1,0
0005012820130829,89,5,1038375,1,41,0,0,0,0,1
0005012820130829,124,5,1038375,1,37,0,0,0,0,0
0005012820130829,131,128,1046746,1,42,0,0,0,1,0
0005012820130829,140,5,1038375,1,50,0,1,0,0,0
0005012820130829,146,128,1046746,1,43,0,0,0,0,0
0711016420130829,5,164,1023707,1,40,0,1,0,0,0
0711016420130829,38,164,1023707,1,42,0,1,0,0,0
0711016420130829,44,711,1059699,1,32,0,0,0,1,0
0711016420130829,48,164,1023707,1,33,0,1,0,0,0
0711016420130829,81,711,1059699,1,13,0,0,0,1,0
0711016420130829,89,711,1050796,1,33,0,1,0,0,0
0711016420130829,93,164,1023707,1,54,0,0,0,1,0
0711016420130829,116,164,1023707,1,35,0,1,0,0,0
0711016420130829,120,711,1050796,1,37,0,0,0,0,1
0711016420130829,131,711,1050796,1,39,0,0,0,0,0
0711016420130829,135,164,1023707,1,33,0,1,0,0,0
0711016420130829,163,711,1050796,1,41,0,0,0,0,0
0657027720130829,6,277,1055314,1,45,0,0,0,0,0
0657027720130829,34,277,1039554,1,42,0,0,0,0,0
0657027720130829,41,657,1041413,1,34,0,0,0,0,0
0657027720130829,46,277,1039554,1,37,0,0,0,1,0
0657027720130829,61,657,1041413,1,35,0,0,0,1,0
0657027720130829,65,277,1055314,1,27,0,0,0,1,0
0657027720130829,93,277,1039554,1,41,0,0,0,0,0
0657027720130829,108,657,1041413,1,64,0,0,0,1,0
0657027720130829,112,277,1055314,1,46,0,0,0,0,0
0657027720130829,116,657,1041413,1,37,0,0,0,0,0
0657027720130829,122,277,1055314,1,29,0,0,0,1,0
0657027720130829,126,657,1041413,1,48,0,0,0,0,0
0657027720130829,160,277,1055314,1,41,0,1,0,0,0
0657027720130829,172,657,1041413,1,42,0,0,0,0,0
0657027720130829,181,277,1039554,1,36,0,1,0,0,0
0305030620130829,36,305,1058768,1,35,0,1,0,0,0
0305030620130829,64,305,1058768,1,38,0,0,0,0,0
0305030620130829,79,305,1058768,1,28,0,0,0,1,0
0305030620130829,86,306,1047433,1,39,0,0,0,1,0
0305030620130829,90,305,1058768,1,41,0,0,0,0,1
0305030620130829,102,305,1058768,1,35,0,1,0,0,0
0305030620130829,110,306,1047433,1,38,0,0,0,0,0
0305030620130829,148,305,1058768,1,36,0,1,0,0,0
0305030620130829,157,305,1058768,1,54,0,0,0,0,0
0305030620130829,164,306,1047433,1,36,0,0,0,0,0
0305030620130829,168,305,1058768,1,37,0,0,0,0,0
0305030620130829,177,305,1058768,1,39,0,0,0,1,0
0305030620130829,186,305,1058768,1,45,0,0,0,0,0
0355033120130829,22,355,1051421,1,41,0,0,0,0,0
0355033120130829,26,331,1047620,1,35,0,1,0,0,0
0355033120130829,30,355,1051421,1,43,0,0,0,0,0
0355033120130829,41,331,1047620,1,44,0,0,1,0,0
0355033120130829,45,355,1051421,1,38,0,0,0,0,0
0355033120130829,69,331,1047620,1,49,0,1,0,0,0
0355033120130829,76,355,1051421,1,41,0,0,0,0,0
0355033120130829,84,331,1047620,1,41,0,1,0,0,0
0355033120130829,107,355,1051421,1,40,0,0,0,1,0
0355033120130829,130,355,1051421,1,33,0,1,0,0,0
0769041920130829,9,769,1044124,1,16,0,0,0,0,1
0769041920130829,45,769,1044124,1,41,0,0,0,0,0
0769041920130829,53,769,1044124,1,44,0,0,0,0,1
0769041920130829,69,769,1044124,1,34,0,1,0,0,0
0769041920130829,79,419,1032741,1,46,0,0,0,0,0
0769041920130829,84,769,1044124,1,32,0,0,0,0,1
0769041920130829,104,419,1032741,1,53,0,0,0,1,0
0769041920130829,114,769,1044124,1,40,0,0,0,0,0
0769041920130829,120,419,1032741,1,45,0,0,0,0,1
0769041920130829,124,769,1044124,1,43,0,0,0,0,0
0769041920130829,157,419,1032741,1,55,0,0,0,0,0
0769041920130829,164,769,1044124,1,45,0,1,0,0,0
0465042820130829,24,465,1040623,1,21,0,0,0,0,1
0465042820130829,52,465,1040623,1,63,0,0,0,0,1
0465042820130829,62,428,1040367,1,32,0,0,0,0,1
0465042820130829,79,428,1040367,1,40,0,1,0,0,0
0465042820130829,85,465,1040623,1,45,0,0,0,0,0
0465042820130829,108,465,1040623,1,44,0,0,0,1,0
0465042820130829,112,428,1040367,1,43,0,0,0,0,0
0102063020130829,5,630,1025894,1,38,0,0,0,1,0
0102063020130829,24,102,1050541,1,50,0,0,0,1,0
0102063020130829,28,630,1025894,1,33,0,1,0,0,0
0102063020130829,34,102,1050541,1,40,0,1,0,0,0
0102063020130829,59,102,1050541,1,41,0,0,0,0,0
0102063020130829,63,630,1025894,1,55,0,0,0,1,0
0102063020130829,136,630,1025894,1,47,0,0,0,0,0
0102063020130829,156,630,1025894,1,35,0,0,0,0,1
0102063020130829,160,102,1050541,1,48,0,0,0,1,0
0102063020130829,173,630,1025894,1,41,0,0,0,1,0
0102063020130829,178,102,1050541,1,55,0,0,0,0,0
0667064620130829,9,646,1045151,1,41,0,1,0,0,0
0667064620130829,46,646,1045151,1,44,0,1,0,0,0
0667064620130829,50,667,1029405,1,30,0,0,0,1,0
0667064620130829,65,667,1029405,1,43,0,1,0,0,0
0667064620130829,80,667,1029405,1,48,0,0,0,1,0
0667064620130829,113,667,1029405,1,43,0,0,0,1,0
0667064620130829,117,646,1045151,1,31,0,1,0,0,0
0667064620130829,122,667,1029405,1,40,0,0,0,1,0
0667064620130829,137,667,1029405,1,49,0,0,0,0,0
0667064620130829,144,646,1045151,1,33,0,1,0,0,0
0667064620130829,148,667,1029405,1,51,0,0,0,0,0
0667064620130829,163,646,1045151,1,43,0,0,0,0,0
0457064820130829,13,457,1040488,1,45,0,0,1,0,0
0457064820130829,32,457,1040488,1,44,0,0,0,0,0
0457064820130829,67,648,1049165,1,42,0,0,0,0,0
0457064820130829,73,648,1049165,1,32,0,0,0,0,1
0457064820130829,77,457,1040488,1,33,0,0,0,0,0
0457064820130829,125,457,1040488,1,31,0,1,0,0,0
0457064820130829,137,648,1049165,1,27,0,0,0,0,1
0457064820130829,147,457,1040488,1,46,0,0,0,0,1
0457064820130829,153,648,1049165,1,40,0,0,0,0,0
0457064820130829,158,457,1040488,1,43,0,0,0,0,0
0457064820130829,185,648,1049165,1,25,0,0,0,0,1
0314071820130829,24,314,1051268,1,32,0,0,0,0,0
0314071820130829,59,718,1049882,1,53,0,0,0,1,0
0314071820130829,63,314,1051268,1,44,0,0,0,0,1
0314071820130829,95,718,1049882,1,39,0,1,0,0,0
0314071820130829,106,314,1051268,1,35,0,0,0,0,0
0314071820130829,110,718,1049882,1,38,0,0,0,0,0
0314071820130829,129,314,1051268,1,37,0,1,0,0,0
0314071820130829,136,718,1049882,1,37,0,0,0,0,0
0314071820130829,140,314,1051268,1,36,0,1,0,0,0
0314071820130829,170,718,1049882,1,43,0,0,0,0,0
0731073220130829,28,732,1050121,1,41,0,0,0,1,0
0731073220130829,34,731,1034653,1,39,0,0,1,0,0
0731073220130829,64,732,1050121,1,56,0,0,1,0,0
0731073220130829,68,731,1034653,1,41,0,1,0,0,0
0731073220130829,72,732,1050121,1,39,0,1,0,0,0
0731073220130829,86,732,1050121,1,47,0,0,0,0,0
0731073220130829,132,732,1050121,1,35,0,1,0,0,0
0731073220130829,136,731,1034653,1,38,0,1,0,0,0
0731073220130829,143,731,1034653,1,41,0,0,0,0,0
0731073220130829,187,731,1034653,1,43,0,1,0,0,0
0433073620130829,18,736,1042242,1,16,0,0,0,0,1
0433073620130829,34,736,1042242,1,52,0,0,0,0,0
0433073620130829,38,433,1024984,1,53,0,0,0,0,0
0433073620130829,56,433,1024984,1,34,0,0,0,0,1
0433073620130829,69,433,1024984,1,39,0,0,1,0,0
0433073620130829,103,736,1042242,1,35,0,0,0,1,0
0433073620130829,155,736,1042242,1,52,0,0,0,0,1
0433073620130829,177,736,1042242,1,45,0,0,0,0,1
0433073620130829,183,433,1024984,1,53,0,0,1,0,0
1320074920130829,5,749,1042357,1,43,0,1,0,0,0
1320074920130829,21,1320,1045380,1,10,0,0,0,0,1
1320074920130829,61,1320,1045380,1,47,0,0,0,0,0
1320074920130829,88,1320,1045380,1,41,0,0,0,0,0
1320074920130829,92,749,1042357,1,27,0,0,0,1,0
1320074920130829,100,1320,1045380,1,41,0,1,0,0,0
1320074920130829,107,749,1042357,1,32,0,0,0,0,1
1320074920130829,111,1320,1045380,1,47,0,0,0,0,1
1320074920130829,123,749,1042357,1,40,0,0,1,0,0
1320074920130829,144,1320,1045380,1,38,0,0,0,0,0
1320074920130829,150,749,1042357,1,40,0,0,0,0,0
1320074920130829,154,1320,1045380,1,32,0,0,0,0,1
0501002920130830,38,501,1037463,1,40,0,1,0,0,0
0501002920130830,43,29,1038531,1,18,0,0,0,0,1
0501002920130830,48,501,1037463,1,40,0,0,0,0,0
0501002920130830,53,29,1038531,1,44,0,1,0,0,0
0501002920130830,60,501,1037463,1,49,0,0,0,0,0
0501002920130830,73,501,1037463,1,42,0,0,0,1,0
0501002920130830,83,501,1037463,1,38,0,0,0,0,0
0501002920130830,87,29,1038531,1,55,0,0,0,0,1
0501002920130830,92,501,1037463,1,51,0,0,0,0,0
0501002920130830,123,29,1038531,1,15,0,0,0,0,1
0625025420130830,7,254,1045419,1,54,0,0,0,1,0
0625025420130830,15,625,1035963,1,38,0,0,0,0,0
0625025420130830,34,625,1035963,1,41,0,0,1,0,0
0625025420130830,38,254,1045419,1,20,0,0,0,0,1
0625025420130830,42,625,1035963,1,33,0,1,0,0,0
0625025420130830,69,254,1038256,1,11,1,0,0,1,0
0625025420130830,85,254,1045419,1,39,0,1,0,0,0
0625025420130830,89,625,1035963,1,46,0,1,0,0,0
0625025420130830,104,254,1045419,1,37,0,0,1,0,0
0625025420130830,108,625,1035963,1,45,0,1,0,0,0
0625025420130830,115,254,1045419,1,42,0,0,0,0,0
0625025420130830,119,625,1035963,1,32,0,1,0,0,0
0625025420130830,128,254,1045419,1,41,0,0,0,0,0
0625025420130830,145,254,1045419,1,27,0,0,0,0,1
0625025420130830,157,254,1045419,1,52,0,1,0,0,0
0625025420130830,191,625,1035963,1,47,0,0,1,0,0
0665028820130830,6,665,1059313,1,53,0,0,0,1,0
0665028820130830,22,665,1059313,1,33,0,1,0,0,0
0665028820130830,86,665,1059313,1,28,0,0,0,0,0
0665028820130830,91,288,1032038,1,31,0,0,0,0,0
0665028820130830,127,288,1032038,1,54,0,1,0,0,0
0665028820130830,145,665,1059313,1,30,0,1,0,0,0
0665028820130830,153,288,1032038,1,48,0,0,0,0,0
0665028820130830,157,665,1059313,1,38,0,0,0,0,0
0665028820130830,180,288,1032038,1,55,0,0,1,0,0
0665028820130830,184,665,1059313,1,31,0,1,0,0,0
0665028820130830,197,665,1059313,1,36,0,0,0,1,0
0493032720130830,6,493,1045475,1,48,0,0,0,1,0
0493032720130830,14,327,1039823,1,49,0,1,0,0,0
0493032720130830,21,493,1045475,1,42,0,0,0,0,1
0493032720130830,27,327,1039823,1,43,0,0,0,0,0
0493032720130830,47,493,1045475,1,45,0,1,0,0,0
0493032720130830,63,493,1045475,1,34,0,0,0,1,0
0493032720130830,79,327,1039823,1,42,0,1,0,0,0
0493032720130830,119,327,1039823,1,45,0,0,0,1,0
0493032720130830,137,327,1039823,1,40,0,0,1,0,0
0229041520130830,5,229,1047062,1,50,0,0,0,0,0
0229041520130830,19,229,1047062,1,46,0,0,0,0,0
0229041520130830,35,229,1047062,1,38,0,0,0,0,0
0229041520130830,42,415,1023584,1,53,0,0,1,0,0
0229041520130830,49,229,1047062,1,43,0,0,0,0,1
0229041520130830,82,229,1047062,1,38,0,0,0,0,0
0229041520130830,96,229,1047062,1,51,0,1,0,0,0
0229041520130830,120,415,1023584,1,40,0,0,1,0,0
0229041520130830,125,229,1047062,1,61,0,0,0,0,0
0229041520130830,137,229,1047062,1,39,0,0,0,0,0
0229041520130830,143,415,1023584,1,54,0,0,0,0,0
0229041520130830,154,229,1047062,1,40,0,0,0,0,0
0229041520130830,158,415,1023584,1,32,0,1,0,0,0
0229041520130830,162,229,1047062,1,9,0,0,0,0,1
0774041620130830,9,416,1032677,1,31,0,1,0,0,0
0774041620130830,13,774,1050425,1,62,0,0,0,0,0
0774041620130830,17,416,1032677,1,39,0,1,0,0,0
0774041620130830,29,774,1050425,1,38,0,0,0,1,0
0774041620130830,36,416,1032677,1,38,0,0,0,0,1
0774041620130830,47,416,1032677,1,46,0,0,1,0,0
0774041620130830,52,774,1050425,1,57,0,0,0,1,0
0774041620130830,60,416,1032677,1,34,0,0,0,1,0
0774041620130830,68,774,1050425,1,41,0,0,1,0,0
0774041620130830,72,416,1032677,1,35,0,0,0,1,0
0774041620130830,86,416,1032677,1,39,0,0,0,1,0
0774041620130830,90,774,1050425,1,42,0,0,0,0,0
0774041620130830,111,774,1050425,1,35,0,0,0,0,0
0774041620130830,116,416,1032677,1,48,0,0,0,0,0
0774041620130830,123,774,1050425,1,38,0,0,0,0,0
0774041620130830,138,774,1050425,1,40,0,0,0,1,0
0774041620130830,145,416,1032677,1,40,0,0,0,1,0
0774041620130830,160,774,1050425,1,43,0,0,0,0,0
0774041620130830,164,416,1032677,1,34,0,1,0,0,0
0774041620130830,169,774,1050425,1,45,0,0,0,0,1
0774041620130830,187,774,1050425,1,55,0,0,0,1,0
0774041620130830,196,416,1032677,1,39,0,0,0,0,0
0700066320130830,39,700,1026383,1,48,0,0,0,0,0
0700066320130830,44,663,1033908,1,43,0,1,0,0,0
0700066320130830,62,663,1033908,1,58,0,0,0,0,0
0700066320130830,66,700,1026383,1,36,0,0,0,1,0
0700066320130830,70,663,1033908,1,53,0,0,0,1,0
0700066320130830,74,700,1026383,1,56,0,0,0,0,0
0700066320130830,88,700,1026383,1,21,0,0,0,0,1
0700066320130830,93,663,1033908,1,35,0,1,0,0,0
0700066320130830,153,700,1026383,1,48,0,0,0,0,0
0700066320130830,157,663,1033908,1,38,0,0,0,0,0
0700066320130830,161,700,1026383,1,49,0,0,0,0,0
0700066320130830,172,663,1033908,1,35,0,1,0,0,0
0700066320130830,193,663,1033908,1,51,0,0,0,0,0
0446072520130830,13,446,1052544,1,46,0,0,0,1,0
0446072520130830,29,446,1052544,1,63,0,0,0,1,0
0446072520130830,107,725,1049968,1,38,0,1,0,0,0
0446072520130830,115,446,1052544,1,27,0,0,0,1,0
0446072520130830,119,725,1049968,1,40,0,1,0,0,0
0446072520130830,123,446,1052544,1,40,0,0,0,1,0
0446072520130830,128,725,1049968,1,38,0,1,0,0,0
2678003020130831,5,2678,1059561,1,31,0,0,0,1,0
2678003020130831,20,2678,1059561,1,49,0,0,0,0,1
2678003020130831,39,2678,1059561,1,50,0,0,0,1,0
2678003020130831,55,2678,1059561,1,35,0,0,0,0,0
2678003020130831,60,2678,1059561,1,58,0,0,1,0,0
2678003020130831,89,2678,1059561,1,37,0,0,0,1,0
2678003020130831,102,2678,1059561,1,51,0,0,0,0,0
2678003020130831,119,2678,1059561,1,34,0,1,0,0,0
2678003020130831,127,2678,1059561,1,36,0,1,0,0,0
2678003020130831,148,30,1059712,1,39,0,1,0,0,0
2678003020130831,170,2678,1059561,1,35,0,1,0,0,0
0671003120130831,32,31,1054363,1,45,0,0,0,0,0
0671003120130831,55,671,1057403,1,41,0,1,0,0,0
0671003120130831,77,671,1057403,1,44,0,0,0,1,0
0671003120130831,94,671,1057403,1,43,0,1,0,0,0
0671003120130831,123,671,1057403,1,53,0,0,0,0,1
0671003120130831,129,31,1054363,1,37,0,0,0,1,0
0671003120130831,133,671,1057403,1,37,0,1,0,0,0
0754003720130831,23,37,1031070,1,37,0,1,0,0,0
0754003720130831,31,754,1025659,1,43,0,0,0,1,0
0754003720130831,38,37,1031070,1,41,0,1,0,0,0
0754003720130831,50,754,1025659,1,36,0,0,0,1,0
0754003720130831,54,37,1031070,1,47,0,1,0,0,0
0754003720130831,108,754,1025659,1,34,0,1,0,0,0
0754003720130831,114,37,1031070,1,53,0,0,0,0,1
0754003720130831,121,754,1025659,1,46,0,0,0,0,0
0754003720130831,154,37,1031070,1,30,0,0,0,1,0
0754003720130831,162,754,1025659,1,37,0,1,0,0,0
2915005120130831,33,2915,1036769,1,32,0,1,0,0,0
2915005120130831,70,2915,1036769,1,31,0,0,0,0,1
2915005120130831,91,2915,1036769,1,43,0,0,0,0,0
2915005120130831,103,2915,1036769,1,42,0,0,0,0,0
2915005120130831,144,2915,1036769,1,36,0,1,0,0,0
2915005120130831,157,2915,1036769,1,42,0,0,0,1,0
2915005120130831,172,2915,1036769,1,58,0,0,0,0,0
2915005120130831,177,51,1038725,1,40,0,0,0,1,0
2915005120130831,181,2915,1036769,1,62,0,0,0,0,0
0739006720130831,37,67,1023275,1,43,0,1,0,0,0
0739006720130831,41,739,1028686,1,45,0,0,0,0,0
0739006720130831,45,67,1023275,1,42,0,1,0,0,0
