"Team Code","Game Code","Rush Att","Rush Yard","Rush TD","Pass Att","Pass Comp","Pass Yard","Pass TD","Pass Int","Pass Conv","Kickoff Ret","Kickoff Ret Yard","Kickoff Ret TD","Punt Ret","Punt Ret Yard","Punt Ret TD","Fum Ret","Fum Ret Yard","Fum Ret TD","Int Ret","Int Ret Yard","Int Ret TD","Misc Ret","Misc Ret Yard","Misc Ret TD","Field Goal Att","Field Goal Made","Off XP Kick Att","Off XP Kick Made","Off 2XP Att","Off 2XP Made","Def 2XP Att","Def 2XP Made","Safety","Points","Punt","Punt Yard","Kickoff","Kickoff Yard","Kickoff Touchback","Kickoff Out-Of-Bounds","Kickoff Onside","Fumble","Fumble Lost","Tackle Solo","Tackle Assist","Tackle For Loss","Tackle For Loss Yard","Sack","Sack Yard","QB Hurry","Fumble Forced","Pass Broken Up","Kick/Punt Blocked","1st Down Rush","1st Down Pass","1st Down Penalty","Time Of Possession","Penalty","Penalty Yard","Third Down Att","Third Down Conv","Fourth Down Att","Fourth Down Conv","Red Zone Att","Red Zone TD","Red Zone Field Goal"
5,0005012820130829,35,134,0,25,18,116,1,1,0,4,78,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,327,2,110,0,0,0,2,1,32,40,8.0,28,4.0,22,4,1,2,0,7,8,0,1641,6,49,16,8,0,0,1,1,0
5,0317000520130907,25,69,1,32,20,287,4,1,0,2,39,0,2,28,0,0,0,0,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,35,5,229,6,367,1,0,0,0,0,60,46,9.0,42,2.0,20,0,1,4,0,2,11,1,1300,7,70,13,8,0,0,3,3,0
5,0005041820130914,30,107,0,49,25,311,2,2,0,3,61,0,2,9,0,0,0,0,3,53,1,0,0,0,3,1,3,3,0,0,0,0,0,24,5,222,5,263,1,0,0,0,0,40,10,8.0,31,1.0,10,5,1,1,0,6,14,1,1996,5,38,18,9,1,0,3,1,0
5,0671000520130921,27,134,1,43,27,321,3,2,0,5,101,0,1,1,0,0,0,0,1,0,0,0,0,0,3,1,3,3,1,0,0,0,0,30,5,205,6,313,1,0,0,0,0,56,24,6.0,13,1.0,3,0,3,1,0,8,13,1,1587,3,23,14,4,1,1,0,0,0
5,0005007120130928,25,97,1,37,22,199,1,0,0,3,53,0,2,7,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,5,146,3,195,3,0,0,0,0,36,38,7.0,31,6.0,28,0,2,1,0,4,12,3,1437,2,10,13,6,1,0,2,1,0
5,0519000520131005,39,56,0,26,11,101,0,1,0,7,93,0,3,-19,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,3,7,315,3,199,1,0,0,2,1,46,22,3.0,17,1.0,12,0,0,3,0,3,8,3,1868,12,135,17,6,1,0,1,0,1
5,0005050320131012,36,110,2,56,24,262,1,1,0,2,36,0,3,4,0,0,0,0,0,0,0,2,24,0,0,0,3,2,0,0,0,0,0,20,9,411,4,256,2,0,0,0,0,38,32,4.0,10,1.0,5,5,0,0,2,7,11,1,1963,10,91,23,9,4,1,3,3,0
5,0005041420131019,39,147,3,32,23,227,0,0,0,3,39,0,3,16,0,0,0,0,1,0,0,0,0,0,2,1,3,3,0,0,0,0,0,24,3,156,5,311,3,0,0,3,3,41,14,7.0,32,6.0,29,2,2,4,1,11,9,2,1967,7,40,13,5,2,2,6,3,1
5,0047000520131026,44,226,2,35,17,211,1,2,0,5,116,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,24,6,248,5,272,2,0,0,1,1,31,51,5.0,17,2.0,13,0,2,3,0,13,9,0,1878,8,57,16,6,1,0,3,2,0
5,0331000520131102,47,173,0,21,9,131,1,0,0,2,6,0,1,11,0,0,0,0,3,26,0,0,0,0,3,3,1,1,0,0,0,0,0,16,4,162,5,231,0,0,0,3,1,27,42,0.0,0,0.0,0,0,1,3,0,11,5,3,1974,5,25,15,7,1,0,3,0,3
5,0005040020131116,36,133,1,33,20,208,1,0,0,4,105,0,2,4,0,0,0,0,2,30,0,0,0,0,0,0,2,2,0,0,0,0,0,14,5,206,3,161,0,0,0,3,3,23,72,7.0,19,1.0,5,0,1,3,0,8,9,1,1776,4,30,13,1,4,1,3,2,0
5,0709000520131129,35,85,1,30,18,259,3,0,0,4,90,0,0,0,0,0,0,0,1,21,0,0,0,0,1,1,4,4,0,0,0,0,0,31,5,162,6,311,0,0,0,2,1,39,40,2.0,8,1.0,7,0,0,6,1,6,13,3,1741,9,74,12,3,2,2,4,3,1
8,0008074220130831,38,96,1,24,10,110,1,1,0,2,109,1,6,118,1,0,0,0,1,38,1,0,0,0,0,0,5,5,0,0,0,0,0,35,9,418,6,369,0,0,0,0,0,26,44,4.0,7,1.0,4,0,0,2,0,6,5,0,1845,4,25,17,6,0,0,1,1,0
8,0008069720130914,37,234,2,29,20,334,4,0,0,4,83,0,1,5,0,0,0,0,2,73,1,0,0,0,0,0,7,7,0,0,0,0,0,49,3,159,8,509,2,0,0,1,1,36,38,3.0,7,1.0,5,0,1,3,0,15,15,1,2102,12,104,6,3,0,0,4,3,0
8,0156000820130921,21,66,1,27,21,272,2,1,0,3,60,0,5,60,1,0,0,0,0,0,0,0,0,0,2,1,4,4,0,0,0,0,0,31,5,225,6,373,0,0,0,0,0,46,22,6.0,20,1.0,5,5,1,4,1,3,12,1,1730,2,15,10,2,1,1,2,2,0
8,0433000820130928,40,254,2,32,25,180,0,1,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,3,3,2,2,0,0,0,0,1,25,5,231,5,306,1,0,0,3,0,37,18,5.0,21,2.0,16,4,1,9,0,10,9,2,2309,7,50,17,8,1,0,2,0,1
8,0254000820131005,30,181,1,34,29,296,5,0,0,2,17,0,1,37,0,1,6,0,0,0,0,0,0,0,2,1,6,6,0,0,0,0,0,45,1,42,8,507,1,0,0,0,0,26,24,8.0,30,1.0,8,2,1,3,0,10,18,3,2018,4,30,9,6,0,0,7,5,1
8,0008033420131012,44,299,5,36,22,369,1,0,0,2,49,0,3,52,0,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,48,1,47,9,582,5,0,0,2,2,35,18,5.0,28,4.0,27,0,0,6,0,16,17,2,2159,7,65,14,10,1,1,8,5,2
8,0031000820131019,37,352,4,24,15,180,3,0,0,1,32,0,0,0,0,0,0,0,2,9,0,1,5,0,1,1,7,7,0,0,0,0,0,52,1,51,9,562,2,0,0,0,0,33,40,4.0,7,1.0,4,11,1,5,1,15,9,1,1740,0,0,9,5,1,0,3,3,0
8,0694000820131026,37,204,3,28,19,275,2,0,0,3,113,0,2,19,0,0,0,0,2,117,1,0,0,0,1,1,6,6,0,0,0,0,0,45,2,80,8,506,3,0,0,1,1,31,26,1.0,2,0.0,0,4,1,5,0,11,13,2,2038,4,45,11,7,1,1,5,3,1
8,0365000820131109,42,193,2,20,14,179,3,0,0,4,83,0,0,0,0,1,5,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,0,38,2,87,7,448,3,0,0,0,0,38,20,8.0,40,4.0,32,2,1,4,0,13,8,4,2031,4,35,10,5,1,1,4,4,0
8,0008043020131116,33,196,0,32,18,187,2,2,0,1,18,0,1,3,0,0,0,0,1,16,0,0,0,0,2,2,2,2,0,0,0,0,0,20,4,220,5,296,2,0,0,2,2,31,32,5.0,16,2.0,12,6,2,5,0,9,11,0,1857,5,41,12,4,1,1,5,2,2
8,0693000820131123,32,251,4,20,15,184,2,0,0,1,14,0,4,78,1,1,35,0,1,0,0,1,27,0,0,0,7,7,0,0,0,0,0,49,0,0,8,478,1,0,0,2,1,35,32,8.0,17,1.0,2,0,1,2,1,13,7,2,1536,2,20,7,4,3,1,3,3,0
8,0008003720131130,35,218,1,29,17,277,3,0,0,3,54,0,1,19,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,28,3,141,5,318,1,0,0,0,0,46,30,7.0,36,3.0,25,4,2,1,0,11,7,1,1854,6,45,13,4,2,1,6,3,0
8,0522000820140102,35,129,2,30,19,387,2,2,0,5,104,0,2,18,0,0,0,0,1,0,0,0,0,0,2,1,4,4,0,0,0,0,0,31,4,174,6,362,1,0,0,3,3,58,14,5.0,14,1.0,5,2,0,2,0,10,10,0,1745,6,45,12,6,0,0,4,1,1
9,0009071620130831,30,108,0,35,21,339,3,0,0,6,205,1,0,0,0,1,7,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,31,4,134,4,244,2,0,1,1,0,63,10,7.0,29,1.0,9,0,3,1,0,7,11,1,1751,13,96,13,2,3,2,0,0,0
9,0009036520130907,43,160,1,25,9,136,1,0,0,1,9,0,1,2,0,1,3,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,17,8,331,3,194,2,0,0,1,1,27,32,1.0,1,0.0,0,0,1,1,0,8,7,2,2010,5,35,16,5,2,1,3,1,1
9,0508000920130921,34,242,3,27,13,212,3,1,0,2,34,0,4,92,1,0,0,0,1,0,0,0,0,0,1,1,7,7,0,0,0,0,0,52,4,164,10,650,8,0,0,1,1,42,36,8.0,27,2.0,15,5,2,4,0,11,9,1,1546,5,44,11,4,2,1,4,3,1
9,0009073620130928,29,156,0,36,19,206,2,2,1,4,50,0,0,0,0,0,0,0,1,17,0,0,0,0,3,3,1,1,1,1,0,0,0,24,5,225,5,314,0,0,1,0,0,38,32,4.0,10,1.0,3,1,0,0,0,6,10,1,1836,6,42,15,4,1,0,4,1,3
9,0229000920131005,25,51,0,33,18,256,2,0,0,4,152,0,0,0,0,0,0,0,0,0,0,1,52,0,3,3,2,2,0,0,0,0,0,23,4,201,6,388,5,0,0,3,0,50,20,5.0,9,1.0,5,0,0,1,3,4,11,1,1460,2,12,15,6,1,0,4,1,3
9,0009023120131012,41,217,2,30,19,188,1,0,0,4,36,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,3,3,0,0,0,0,0,27,5,218,6,358,5,0,0,1,0,42,12,8.0,25,3.0,14,0,0,6,0,11,10,4,1779,9,72,12,5,0,0,5,3,2
9,0009070620131026,34,189,2,43,23,317,2,2,0,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,2,67,6,390,2,0,0,2,1,47,18,6.0,19,3.0,14,1,1,2,0,13,16,0,1696,5,36,15,11,1,0,2,2,0
9,0419000920131102,56,299,1,9,6,57,1,1,0,2,23,0,1,9,0,0,0,0,1,0,0,0,0,0,2,2,1,1,1,1,0,0,0,21,6,235,5,307,2,0,0,1,1,45,6,1.0,2,0.0,0,0,0,3,0,14,4,1,2319,1,5,12,2,2,2,1,0,1
9,0009038820131109,56,288,1,17,10,176,1,0,0,7,123,0,1,-5,0,0,0,0,0,0,0,1,8,0,2,0,2,2,0,0,0,0,0,14,2,74,3,195,1,0,0,2,2,14,46,1.0,2,0.0,0,1,0,1,1,14,6,2,2341,2,15,16,7,4,2,3,1,0
9,0009019620131116,34,144,2,34,16,210,0,2,0,7,129,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,2,2,0,0,0,0,0,14,6,292,3,183,2,0,0,2,1,40,44,6.0,18,1.0,4,2,0,0,0,8,8,1,1907,9,89,17,8,2,1,3,2,0
9,0574000920131121,37,138,3,33,13,195,1,0,0,2,43,0,2,19,0,1,27,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,34,7,335,6,381,2,0,0,1,0,63,14,7.0,25,3.0,15,0,2,2,0,8,8,0,1592,4,35,16,5,2,1,6,4,2
9,0664000920131130,36,145,2,31,18,286,2,1,0,10,200,0,1,0,0,0,0,0,1,17,0,0,0,0,2,0,3,3,1,0,0,0,0,27,3,120,5,287,2,0,0,5,4,44,8,7.0,25,2.0,17,3,0,2,0,11,10,1,1789,11,98,10,4,1,0,2,1,0
28,0102002820130905,44,158,2,36,27,365,5,0,0,1,20,0,4,34,0,0,0,0,2,67,0,1,4,0,4,2,7,7,0,0,0,0,0,55,2,86,10,649,9,0,0,0,0,35,12,4.0,22,1.0,13,0,1,3,1,8,17,2,1932,1,5,16,8,2,1,6,3,1
28,0796002820130914,42,116,4,51,29,352,0,1,0,4,90,0,2,12,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,0,32,5,178,7,449,4,0,0,1,1,40,12,6.0,13,1.0,5,0,0,6,0,8,18,6,1918,3,15,18,8,2,0,7,4,2
28,0028067420130921,24,50,1,56,30,367,3,2,0,5,107,0,2,5,0,0,0,0,1,8,0,0,0,0,1,0,4,4,0,0,0,0,0,28,6,155,5,304,1,0,1,0,0,42,32,5.0,16,1.0,9,2,0,0,0,5,12,3,1474,6,65,18,6,4,3,2,2,0
28,0657002820130928,35,261,4,35,24,351,3,1,0,4,90,0,1,0,0,0,0,0,3,53,1,0,0,0,2,2,8,8,0,0,0,0,0,62,4,141,10,650,6,0,0,0,0,47,14,9.0,25,4.0,18,0,1,0,0,10,13,2,1586,4,50,11,5,0,0,7,5,2
28,0028051320131005,25,65,0,47,33,362,3,2,0,1,21,0,0,0,0,0,0,0,1,37,1,0,0,0,2,2,4,4,0,0,0,0,0,34,5,192,6,343,0,0,1,3,1,38,36,4.0,20,0.0,0,1,0,7,0,6,15,1,1522,4,45,13,4,2,1,3,1,2
28,0157002820131012,58,276,4,22,11,256,2,0,1,2,35,0,3,31,0,0,0,0,3,46,0,0,0,0,3,3,5,5,1,1,0,0,1,54,2,73,10,649,4,1,0,1,0,43,16,7.0,26,3.0,20,0,1,1,0,18,9,2,2020,3,25,14,7,1,1,8,5,2
28,0756002820131019,51,314,4,42,26,271,2,1,0,3,73,0,8,64,0,0,0,0,0,0,0,0,0,0,4,4,6,5,0,0,0,0,0,53,4,159,11,675,3,1,0,1,1,39,12,12.0,69,7.0,55,0,0,4,0,15,14,2,2320,4,30,17,7,0,0,10,6,4
28,0028075420131031,57,282,2,31,22,275,5,1,0,1,18,0,6,31,0,0,0,0,1,0,0,0,0,0,2,2,7,7,0,0,0,0,0,55,2,81,10,629,3,0,0,2,1,38,12,5.0,33,3.0,30,3,3,7,0,15,15,3,2247,4,20,14,7,2,2,7,5,2
