Position,Down,Distance,Plays,Runs,Run Yards Exp,Run Points Exp,Passes,Pass Yards Exp,Pass Points Exp,Sacks,Sack Yards Exp,Sack Points Exp,Punts,Field Goals,Expected Yards,Expected Points
0,1,0,914,806,1.006203474,6.260545906,91,0.945054945,5.89010989,9,-7.555555556,2.111111111,0,0,0.915011038,6.182119205
0,1,1,271,218,2.775229358,5.931192661,48,1.729166667,5.8125,3,-8.333333333,5.666666667,0,1,2.464684015,5.907063197
0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,3,3,3,10.33333333,4.666666667,0,0,0,0,0,0,0,0,10.33333333,4.666666667
0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,810,678,1.05899705,6.241887906,118,0.881355932,5.661016949,9,-3.666666667,2.444444444,0,0,0.980124224,6.114285714
0,2,1,193,124,2.072580645,5.314516129,68,2,5.676470588,1,-11,3,0,0,1.979274611,5.430051813
0,2,2,2,1,0,3,1,2,7,0,0,0,0,0,1,5
0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,594,427,1.00234192,5.512880562,154,1.045454545,4.909090909,8,-8.375,1.125,0,2,0.886247878,5.295415959
0,3,1,127,39,2.205128205,4.41025641,82,2.06097561,4.829268293,5,-8,1.8,0,0,1.706349206,4.579365079
0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,220,130,0.423076923,4.576923077,62,1.225806452,3.725806452,1,-10,0,0,26,0.626943005,4.279792746
0,4,1,22,1,1,0,12,1.666666667,2.916666667,0,0,0,0,9,1.615384615,2.692307692
0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,7,1,6,7,0,0,0,0,0,0,0,1,6,7
5,1,1,556,434,2.428571429,5.511520737,113,1.946902655,5.787610619,5,-5.6,4.8,0,0,2.257246377,5.561594203
5,1,2,894,612,3.168300654,5.367647059,256,3,5.08203125,6,-6.5,3.5,0,0,3.052631579,5.271167048
5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,0,177,140,3.071428571,5.6,36,3.416666667,6.027777778,0,0,0,0,1,3.142045455,5.6875
5,2,1,617,397,2.680100756,5.136020151,205,2.751219512,5.43902439,13,-6.461538462,4.384615385,0,0,2.510569106,5.221138211
5,2,2,481,237,3.265822785,4.776371308,227,3.449339207,4.810572687,11,-4.909090909,2.636363636,0,2,3.164210526,4.743157895
5,2,3,1,0,0,0,1,6,0,0,0,0,0,0,6,0
5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,227,176,2.914772727,5.431818182,47,2.170212766,3.914893617,2,-6.5,3,0,1,2.675555556,5.093333333
5,3,1,370,106,2.726415094,4.283018868,234,2.517094017,4.363247863,28,-5.928571429,1.642857143,0,0,1.934782609,4.133152174
5,3,2,224,40,4.275,4.175,154,3.584415584,4.383116883,25,-8.12,1.24,0,2,2.374429224,3.98630137
5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,4,1,0,0,0,0,0,0,1,-4,0,0,0,-4,0
5,4,0,114,48,2.875,4.854166667,14,2.214285714,2,2,-3.5,0,0,50,2.53125,4.078125
5,4,1,75,6,0.333333333,1.166666667,20,2.05,2.1,2,-8.5,0,0,45,0.928571429,1.75
5,4,2,49,2,7.5,7,5,3,2.8,3,-17,0,0,39,-2.1,2.8
5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,13,7,6,7,2,10,7,2,-7,0,0,2,4.363636364,5.727272727
10,1,2,1586,1116,4.151433692,4.944444444,434,4.788018433,4.866359447,12,-5,4.166666667,0,3,4.258002561,4.916773367
10,1,3,24,17,3.941176471,5.470588235,6,3.166666667,3.833333333,0,0,0,0,0,3.739130435,5.043478261
10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
