Team Code,Game Code,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
648,SCTXAM20140828,22,67,0,40,20,366,4,1,NA,3,NA,0,2,NA,0,0,NA,0,0,NA,0,0,NA,0,1,0,4,4,0,0,0,0,0,28,4,NA,5,0,3,NA,NA,0,0,NA,NA,0,0,3,-15,NA,0,NA,0,5,12,6,490,6,59,9,1,1,0,NA,2,0
697,SCTXAM20140828,39,166,4,60,44,511,3,0,NA,2,NA,0,4,NA,0,0,NA,0,1,NA,0,0,NA,0,1,1,7,7,0,0,0,0,0,52,2,NA,9,0,6,NA,NA,0,0,NA,NA,0,0,2,-15,NA,0,NA,0,9,27,1,1297,2,16,17,9,2,1,NA,7,1
433,MISSBOISE20140828,33,74,1,36,25,387,4,3,NA,1,NA,0,5,NA,0,0,NA,0,4,NA,0,0,NA,0,0,0,5,5,0,0,0,0,0,35,4,NA,6,0,0,NA,NA,0,0,NA,NA,3,-5,2,-9,NA,0,NA,0,5,9,8,1430,11,-36,13,5,2,1,NA,2,0
66,MISSBOISE20140828,38,138,0,47,35,260,1,4,NA,6,NA,0,4,NA,0,0,NA,0,3,NA,0,0,NA,0,2,2,1,1,0,0,0,0,0,13,5,NA,4,0,3,NA,NA,0,0,NA,NA,2,-4,3,-36,NA,0,NA,0,10,11,4,3288,7,0,15,5,2,1,NA,1,1
758,ARIZSTWBRST20140828,32,152,1,29,14,156,1,0,NA,4,NA,0,6,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,2,2,0,0,0,0,0,14,9,NA,3,0,3,NA,NA,0,0,NA,NA,3,-6,2,-12,NA,0,NA,0,4,7,4,2563,8,-25,15,4,1,0,NA,1,0
28,ARIZSTWBRST20140828,45,267,4,39,24,303,2,0,NA,0,NA,0,9,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,6,6,0,0,0,0,0,45,6,NA,8,0,4,NA,NA,0,0,NA,NA,2,-12,1,-3,NA,0,NA,0,8,18,2,2730,3,19,17,8,1,1,NA,5,1
416,MICHSTJAXST20140829,49,204,3,24,18,356,3,0,NA,0,NA,0,7,NA,0,0,NA,0,3,NA,0,0,NA,0,2,1,6,6,0,0,0,0,0,45,4,NA,7,0,2,NA,NA,0,0,NA,NA,5,-27,0,0,NA,0,NA,0,10,8,5,3118,5,25,13,5,1,1,NA,4,1
315,MICHSTJAXST20140829,25,19,0,37,18,221,1,3,NA,5,NA,0,4,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,1,1,0,0,0,0,0,7,7,NA,2,0,2,NA,NA,0,0,NA,NA,0,0,5,-51,NA,0,NA,0,4,10,0,2185,2,-10,15,5,1,0,NA,1,0
746,UVAUCLA20140830,39,120,0,45,31,323,2,2,NA,1,NA,0,7,NA,0,0,NA,0,0,NA,0,0,NA,0,2,2,2,2,0,0,0,0,0,20,7,NA,5,0,1,NA,NA,1,1,NA,NA,2,-5,0,0,NA,3,NA,0,3,10,4,1152,6,3,23,8,3,2,NA,0,2
110,UVAUCLA20140830,39,111,1,34,20,242,0,0,NA,4,NA,0,7,NA,0,0,NA,0,2,NA,2,0,NA,0,1,0,4,4,0,0,0,0,0,28,7,NA,5,0,4,NA,NA,3,2,NA,NA,1,-2,5,-21,NA,1,NA,0,7,9,2,-257,8,-44,18,6,2,0,NA,1,0
726,NAVYOHIOST20140830,63,373,2,4,2,20,0,0,NA,5,NA,0,2,NA,0,0,NA,0,1,NA,0,0,NA,0,2,1,2,2,0,0,0,0,0,17,5,NA,4,0,2,NA,NA,1,1,NA,NA,0,0,5,-23,NA,0,NA,0,21,1,0,2812,3,-20,11,4,2,0,NA,2,1
518,NAVYOHIOST20140830,41,207,1,14,11,214,2,1,NA,2,NA,0,5,NA,0,0,NA,0,0,NA,0,0,NA,0,2,2,4,4,0,0,0,0,0,34,2,NA,7,0,2,NA,NA,0,0,NA,NA,0,0,1,-9,NA,1,NA,0,13,5,0,1616,1,-10,9,2,2,1,NA,2,1
649,MIZZOUSDST20140830,32,118,2,32,23,249,0,2,NA,1,NA,0,4,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,1,1,1,1,0,0,0,18,6,NA,4,0,1,NA,NA,2,1,NA,NA,2,-5,2,-12,NA,1,NA,0,3,10,4,3004,6,-15,15,5,0,0,NA,1,0
434,MIZZOUSDST20140830,39,219,1,22,13,178,3,0,NA,3,NA,1,6,NA,0,0,NA,0,2,NA,0,0,NA,0,3,1,5,5,0,0,1,1,0,38,4,NA,7,0,6,NA,NA,1,0,NA,NA,0,0,0,0,NA,2,NA,0,13,3,1,2310,1,-10,12,2,2,2,NA,1,0
